accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
51	0.8175	0.6123	0.3471	0.7711	0.1791	0.8969	16.8000	0.0655	862.0000	76.0000	0.0882	894.0000
52	0.8117	0.6115	0.3494	0.7439	0.1645	0.8731	17.0000	0.0858	880.0000	87.0000	0.0989	888.0000
53	0.8228	0.6143	0.3500	0.7553	0.1746	0.8850	16.9000	0.0796	858.0000	88.0000	0.1026	876.0000
54	0.8351	0.6193	0.3515	0.7660	0.1799	0.8744	17.0000	0.0746	813.0000	85.0000	0.1046	834.0000
55	0.8342	0.6267	0.3607	0.7644	0.1859	0.8866	17.0000	0.0584	857.0000	87.0000	0.1015	883.0000
56	0.8248	0.6172	0.3506	0.7408	0.1702	0.8759	16.9000	0.0763	875.0000	97.0000	0.1109	918.0000
57	0.8415	0.6139	0.3501	0.7839	0.1847	0.9007	17.0000	0.0589	869.0000	78.0000	0.0898	903.0000
58	0.8182	0.6222	0.3631	0.7446	0.1613	0.8787	16.9000	0.0608	841.0000	83.0000	0.0987	873.0000
59	0.8283	0.6156	0.3461	0.7418	0.1605	0.8680	17.2000	0.0733	859.0000	90.0000	0.1048	869.0000
60	0.8232	0.6176	0.3654	0.7627	0.1980	0.8828	17.2000	0.0717	828.0000	88.0000	0.1063	847.0000
61	0.8031	0.6230	0.3517	0.7385	0.1852	0.8730	17.2000	0.0991	851.0000	98.0000	0.1152	886.0000
62	0.8170	0.6172	0.3555	0.7520	0.1716	0.8816	16.9000	0.0752	883.0000	86.0000	0.0974	896.0000
63	0.8238	0.6168	0.3502	0.7452	0.1758	0.8751	17.1000	0.0804	864.0000	101.0000	0.1169	876.0000
64	0.8320	0.6135	0.3552	0.7636	0.1874	0.8812	17.0000	0.0677	873.0000	87.0000	0.0997	899.0000
65	0.8240	0.6127	0.3496	0.7607	0.1770	0.8938	16.9000	0.0723	846.0000	81.0000	0.0957	876.0000
