accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
1	0.3740	0.4156	0.1796	0.8279	0.0341	0.6519	34.2500	0.2597	2.8163	127.0000	0.2657	484.0000	0.2990	441.0000	1475.0000
2	0.3646	0.3920	0.1826	0.8394	0.0294	0.6521	34.5000	0.2678	2.7506	130.0000	0.3066	433.0000	0.2610	385.0000	1475.0000
3	0.4069	0.3848	0.1849	0.8320	0.0305	0.6485	34.3750	0.2746	2.7197	113.0000	0.2982	386.0000	0.2515	371.0000	1475.0000
4	0.3553	0.3667	0.1620	0.8853	0.0275	0.6426	33.7500	0.3070	2.5944	99.0000	0.2812	362.0000	0.2407	355.0000	1475.0000
5	0.3348	0.3799	0.1698	0.8701	0.0247	0.6231	34.2500	0.3216	2.5294	114.0000	0.3202	363.0000	0.2536	374.0000	1475.0000
6	0.3362	0.3667	0.1688	0.8449	0.0249	0.6059	34.1250	0.3113	2.7087	115.0000	0.3412	343.0000	0.2095	309.0000	1475.0000
7	0.3728	0.3810	0.1863	0.8580	0.0282	0.6566	34.0000	0.2848	2.6962	111.0000	0.2960	384.0000	0.2522	372.0000	1475.0000
8	0.3693	0.3711	0.1816	0.8507	0.0316	0.6356	34.3750	0.3030	2.6220	113.0000	0.2982	384.0000	0.2529	373.0000	1475.0000
9	0.3449	0.3711	0.1788	0.8565	0.0278	0.6311	34.7500	0.2955	2.5565	116.0000	0.3013	397.0000	0.2522	372.0000	1475.0000
10	0.3877	0.3694	0.1726	0.8662	0.0310	0.6305	34.5000	0.2969	2.6820	113.0000	0.3219	358.0000	0.2217	327.0000	1475.0000
11	0.3227	0.3727	0.1680	0.8636	0.0259	0.6411	34.8750	0.3008	2.6053	103.0000	0.2830	366.0000	0.2319	342.0000	1475.0000
12	0.3473	0.3601	0.1670	0.8542	0.0243	0.6184	33.8750	0.2891	2.6250	111.0000	0.3458	326.0000	0.2278	336.0000	1475.0000
13	0.3777	0.3645	0.1714	0.8768	0.0261	0.6478	34.1250	0.2709	2.7059	104.0000	0.3077	343.0000	0.2190	323.0000	1475.0000
14	0.3632	0.3650	0.1673	0.8683	0.0265	0.6484	34.3750	0.2940	2.7443	108.0000	0.3059	359.0000	0.2095	309.0000	1475.0000
15	0.3884	0.3606	0.1753	0.8617	0.0257	0.6657	34.6250	0.2662	2.5906	105.0000	0.3043	351.0000	0.2319	342.0000	1475.0000
16	0.3621	0.3755	0.1672	0.8461	0.0256	0.6174	33.3750	0.3403	2.6488	109.0000	0.3196	346.0000	0.2278	336.0000	1475.0000
17	0.3548	0.3656	0.1528	0.8767	0.0231	0.6352	34.1250	0.2968	2.6136	97.0000	0.3170	311.0000	0.2000	295.0000	1475.0000
18	0.4012	0.3683	0.1782	0.8756	0.0277	0.6910	33.6250	0.2395	2.6276	104.0000	0.2873	369.0000	0.2258	333.0000	1475.0000
19	0.3888	0.3661	0.1999	0.8581	0.0299	0.6916	33.8750	0.2379	2.6648	104.0000	0.2680	391.0000	0.2407	355.0000	1475.0000
20	0.3283	0.3689	0.1549	0.8624	0.0256	0.6206	33.6250	0.3137	2.5927	103.0000	0.3093	338.0000	0.2231	329.0000	1475.0000
21	0.3721	0.3656	0.1730	0.8549	0.0268	0.6203	34.1250	0.3066	2.5743	111.0000	0.3265	344.0000	0.2325	343.0000	1475.0000
