accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.7913	0.8430	0.4730	3.6270	0.4331	0.8645	17.4000	0.0677	5.3341	182.0000	0.1191	1531.0000	0.7880	446.0000	566.0000	0.9647	0.7786
2	0.7898	0.8315	0.4639	3.3570	0.3982	0.8722	17.1000	0.0767	5.1344	160.0000	0.1128	1420.0000	0.7491	424.0000	566.0000	0.9690	0.7811
3	0.7995	0.8158	0.4594	3.2226	0.3774	0.8683	17.3000	0.0738	5.0212	155.0000	0.1122	1388.0000	0.7491	424.0000	566.0000	0.9690	0.7777
4	0.7929	0.8191	0.4638	3.0295	0.3948	0.8806	17.2000	0.0627	4.8816	137.0000	0.1039	1322.0000	0.7314	414.0000	566.0000	0.9728	0.7827
5	0.8177	0.8117	0.4701	2.8403	0.3877	0.8772	17.3000	0.0642	4.9794	136.0000	0.1091	1259.0000	0.6855	388.0000	566.0000	0.9682	0.8038
6	0.8110	0.8121	0.4714	3.0284	0.3609	0.8750	17.2000	0.0710	4.9453	134.0000	0.1061	1266.0000	0.7102	402.0000	566.0000	0.9668	0.7973
7	0.8228	0.8138	0.4771	3.0926	0.3580	0.8813	17.2000	0.0585	4.9925	134.0000	0.1073	1253.0000	0.7085	401.0000	566.0000	0.9681	0.7943
8	0.7947	0.8109	0.4774	3.0659	0.3657	0.8826	17.3000	0.0800	4.8526	131.0000	0.1062	1244.0000	0.7191	407.0000	566.0000	0.9678	0.7952
9	0.8093	0.8010	0.4736	3.0774	0.3645	0.8819	17.0000	0.0829	4.7769	131.0000	0.1075	1227.0000	0.6890	390.0000	566.0000	0.9650	0.7959
10	0.8118	0.8080	0.4768	2.9015	0.3679	0.8901	17.1000	0.0690	4.7599	125.0000	0.1017	1238.0000	0.7138	404.0000	566.0000	0.9677	0.7962
11	0.8254	0.8121	0.4793	3.3312	0.3464	0.8751	17.3000	0.0681	4.7951	138.0000	0.1100	1259.0000	0.7155	405.0000	566.0000	0.9651	0.7911
12	0.8113	0.8030	0.4747	3.0017	0.3468	0.8811	17.2000	0.0817	4.7704	133.0000	0.1118	1194.0000	0.6926	392.0000	566.0000	0.9615	0.7988
13	0.8301	0.8059	0.4748	2.9402	0.3591	0.8853	17.2000	0.0669	4.8154	127.0000	0.1058	1205.0000	0.6890	390.0000	566.0000	0.9676	0.7983
14	0.8249	0.8096	0.4801	2.7848	0.3589	0.8876	17.1000	0.0704	4.9060	122.0000	0.1045	1171.0000	0.6767	383.0000	566.0000	0.9718	0.8068
