accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.6255	0.7734	0.7050	3.6726	0.1826	0.7516	38.0000	0.2036	5.7077	400.0000	0.2861	1400.0000	0.9241	414.0000	448.0000	0.8957	0.8448
2	0.6574	0.7719	0.7002	3.3118	0.1766	0.7429	38.6000	0.1718	5.7913	409.0000	0.3061	1338.0000	0.8772	393.0000	448.0000	0.8700	0.8674
3	0.6335	0.7719	0.7010	3.5380	0.1949	0.7511	38.2000	0.1864	5.6432	390.0000	0.2776	1407.0000	0.9196	412.0000	448.0000	0.8962	0.8464
4	0.6278	0.7729	0.7053	3.5570	0.1975	0.7410	38.4000	0.1992	5.7548	387.0000	0.2712	1429.0000	0.9375	420.0000	448.0000	0.8964	0.8420
5	0.6517	0.7744	0.7043	3.5230	0.1811	0.7435	37.7000	0.1857	5.7063	409.0000	0.2988	1371.0000	0.9196	412.0000	448.0000	0.8964	0.8524
6	0.6407	0.7734	0.7023	3.6541	0.1886	0.7331	38.2000	0.1914	5.6466	395.0000	0.2813	1406.0000	0.9286	416.0000	448.0000	0.8919	0.8486
7	0.6337	0.7724	0.7035	3.4553	0.1773	0.7558	38.3000	0.1796	5.5344	411.0000	0.2844	1447.0000	0.9397	421.0000	448.0000	0.8984	0.8487
8	0.6373	0.7734	0.7050	3.3069	0.1958	0.7533	38.1000	0.2092	5.8603	400.0000	0.2961	1353.0000	0.8951	401.0000	448.0000	0.8788	0.8636
9	0.6459	0.7724	0.6992	3.4060	0.1846	0.7387	37.9000	0.1896	5.7419	407.0000	0.2962	1376.0000	0.8996	403.0000	448.0000	0.8859	0.8537
10	0.6389	0.7734	0.7036	3.3780	0.1940	0.7564	38.0000	0.1796	5.6601	388.0000	0.2847	1365.0000	0.9062	406.0000	448.0000	0.8974	0.8648
11	0.6380	0.7734	0.7012	3.4942	0.1786	0.7453	38.5000	0.1914	5.7087	396.0000	0.2865	1384.0000	0.9196	412.0000	448.0000	0.8996	0.8525
12	0.6631	0.7739	0.7001	3.2784	0.1971	0.7631	38.0000	0.1745	5.6691	389.0000	0.2759	1412.0000	0.9040	405.0000	448.0000	0.8888	0.8532
13	0.6367	0.7734	0.7049	3.4647	0.1937	0.7507	37.9000	0.1906	5.6986	397.0000	0.2826	1407.0000	0.9330	418.0000	448.0000	0.9019	0.8460
14	0.6105	0.7719	0.7025	4.0644	0.1809	0.7387	38.1000	0.1963	5.5277	401.0000	0.2836	1416.0000	0.9263	415.0000	448.0000	0.8863	0.8394
15	0.6334	0.7709	0.7022	3.4371	0.1870	0.7547	38.1000	0.1749	5.7825	393.0000	0.2862	1375.0000	0.8929	400.0000	448.0000	0.8982	0.8495
16	0.6121	0.7729	0.7025	3.6595	0.1978	0.7532	37.9000	0.1930	5.8193	393.0000	0.2827	1392.0000	0.9018	404.0000	448.0000	0.8973	0.8537
17	0.6228	0.7724	0.7031	3.6484	0.1762	0.7486	37.8000	0.1764	5.6699	393.0000	0.2801	1405.0000	0.9330	418.0000	448.0000	0.8961	0.8454
18	0.6399	0.7734	0.7044	3.6476	0.1995	0.7563	37.9000	0.1767	5.7204	387.0000	0.2697	1437.0000	0.9420	422.0000	448.0000	0.8998	0.8397
19	0.6255	0.7734	0.7011	3.9876	0.1911	0.7387	38.2000	0.2081	5.7081	417.0000	0.2878	1451.0000	0.9330	418.0000	448.0000	0.8849	0.8373
20	0.6432	0.7714	0.7009	3.6136	0.1955	0.7599	37.7000	0.1967	5.6534	399.0000	0.2949	1355.0000	0.8951	401.0000	448.0000	0.8863	0.8596
21	0.6346	0.7714	0.6996	3.6218	0.1863	0.7463	38.0000	0.1785	5.6618	393.0000	0.2846	1383.0000	0.9107	408.0000	448.0000	0.8952	0.8497
22	0.6309	0.7739	0.7003	3.5994	0.1911	0.7566	37.9000	0.1802	5.6077	384.0000	0.2741	1403.0000	0.9330	418.0000	448.0000	0.9016	0.8470
23	0.6266	0.7734	0.7052	3.5033	0.1910	0.7444	37.9000	0.2101	5.8611	405.0000	0.2971	1365.0000	0.8839	396.0000	448.0000	0.8784	0.8584
24	0.6139	0.7729	0.7007	3.7478	0.1915	0.7432	38.3000	0.1942	5.7076	396.0000	0.2899	1368.0000	0.9085	407.0000	448.0000	0.8823	0.8513
25	0.6571	0.7714	0.6977	3.7271	0.1986	0.7503	37.6000	0.1778	5.5892	401.0000	0.2891	1389.0000	0.9129	409.0000	448.0000	0.8934	0.8536
26	0.6407	0.7724	0.7021	3.5609	0.1885	0.7515	38.4000	0.1809	5.5909	397.0000	0.2826	1407.0000	0.9330	418.0000	448.0000	0.8955	0.8447
27	0.6352	0.7734	0.6999	3.4220	0.1774	0.7477	38.1000	0.1706	5.5049	393.0000	0.2860	1376.0000	0.9196	412.0000	448.0000	0.8990	0.8463
28	0.6655	0.7729	0.7028	3.6523	0.1957	0.7683	38.2000	0.1735	5.7312	382.0000	0.2702	1416.0000	0.9219	413.0000	448.0000	0.9032	0.8510
29	0.6433	0.7729	0.7016	3.4428	0.2020	0.7499	37.8000	0.1881	5.6020	394.0000	0.2828	1395.0000	0.9085	407.0000	448.0000	0.8910	0.8477
30	0.6473	0.7734	0.7019	3.7128	0.1927	0.7601	38.3000	0.1920	5.5985	395.0000	0.2875	1376.0000	0.9174	411.0000	448.0000	0.8866	0.8541
31	0.6283	0.7744	0.7021	3.8505	0.1884	0.7566	38.0000	0.1749	5.6253	394.0000	0.2800	1409.0000	0.9174	411.0000	448.0000	0.8893	0.8450
32	0.6407	0.7739	0.7015	3.4403	0.1921	0.7523	38.5000	0.1954	5.7101	398.0000	0.2975	1340.0000	0.9085	407.0000	448.0000	0.8761	0.8639
33	0.6184	0.7729	0.7017	3.7049	0.2047	0.7463	38.3000	0.2057	5.5405	404.0000	0.2788	1451.0000	0.9375	420.0000	448.0000	0.8918	0.8411
34	0.6244	0.7729	0.7023	3.7837	0.1799	0.7409	37.9000	0.1984	5.5839	400.0000	0.2823	1419.0000	0.9442	423.0000	448.0000	0.8964	0.8469
35	0.6304	0.7724	0.7031	3.6227	0.2110	0.7606	38.3000	0.1777	5.6787	384.0000	0.2674	1438.0000	0.9241	414.0000	448.0000	0.8992	0.8462
36	0.6392	0.7709	0.7015	3.6878	0.1844	0.7549	37.5000	0.1692	5.8321	393.0000	0.2805	1403.0000	0.9174	411.0000	448.0000	0.8981	0.8421
37	0.6378	0.7734	0.7070	3.6000	0.1955	0.7425	38.1000	0.1988	5.7632	400.0000	0.2833	1415.0000	0.9330	418.0000	448.0000	0.8919	0.8540
38	0.6622	0.7724	0.7050	3.4565	0.1965	0.7571	38.2000	0.1777	5.8164	391.0000	0.2856	1371.0000	0.8996	403.0000	448.0000	0.8891	0.8520
39	0.6433	0.7724	0.6980	3.6370	0.1930	0.7564	37.9000	0.1710	5.7224	384.0000	0.2759	1395.0000	0.9085	407.0000	448.0000	0.9025	0.8477
40	0.6457	0.7739	0.7031	3.7761	0.1746	0.7319	37.7000	0.2039	5.7246	415.0000	0.3031	1371.0000	0.9241	414.0000	448.0000	0.8738	0.8552
41	0.6462	0.7734	0.7042	3.9290	0.1804	0.7433	38.1000	0.1794	5.6331	402.0000	0.2823	1426.0000	0.9308	417.0000	448.0000	0.8941	0.8418
42	0.6314	0.7739	0.7004	3.7268	0.1904	0.7432	37.7000	0.1820	5.5167	404.0000	0.2855	1417.0000	0.9375	420.0000	448.0000	0.8871	0.8381
43	0.6316	0.7724	0.7010	3.6686	0.1728	0.7473	37.7000	0.1927	5.6554	407.0000	0.2878	1416.0000	0.9263	415.0000	448.0000	0.8976	0.8546
44	0.6358	0.7724	0.7016	3.6083	0.1963	0.7650	38.1000	0.1812	5.5921	391.0000	0.2789	1404.0000	0.9085	407.0000	448.0000	0.8917	0.8532
45	0.6480	0.7724	0.7055	3.5207	0.1989	0.7577	38.5000	0.1747	5.6595	407.0000	0.2852	1429.0000	0.9375	420.0000	448.0000	0.8950	0.8420
46	0.6347	0.7734	0.6986	3.7997	0.1771	0.7453	38.0000	0.1927	5.5990	395.0000	0.2881	1373.0000	0.9129	409.0000	448.0000	0.8980	0.8514
47	0.6407	0.7719	0.7002	3.7199	0.1802	0.7398	38.7000	0.1846	5.6386	425.0000	0.3034	1403.0000	0.9263	415.0000	448.0000	0.8710	0.8529
48	0.6294	0.7734	0.7020	3.6996	0.1950	0.7506	38.1000	0.1833	5.7076	400.0000	0.2825	1418.0000	0.9085	407.0000	448.0000	0.8900	0.8502
49	0.6214	0.7724	0.7019	3.6517	0.1933	0.7411	37.6000	0.2082	5.6519	406.0000	0.2938	1384.0000	0.9040	405.0000	448.0000	0.8808	0.8530
50	0.6122	0.7729	0.7025	3.3452	0.1975	0.7543	37.8000	0.2104	5.6650	394.0000	0.2874	1373.0000	0.9129	409.0000	448.0000	0.8922	0.8550
51	0.6634	0.7734	0.7034	3.3850	0.1767	0.7501	38.1000	0.1774	5.8222	394.0000	0.2863	1378.0000	0.9040	405.0000	448.0000	0.9006	0.8526
52	0.6675	0.7714	0.7011	3.4671	0.1841	0.7514	37.7000	0.1703	5.7829	406.0000	0.2904	1400.0000	0.9152	410.0000	448.0000	0.8929	0.8495
53	0.6443	0.7739	0.7013	4.0996	0.1980	0.7479	37.7000	0.1999	5.4856	390.0000	0.2792	1399.0000	0.9286	416.0000	448.0000	0.8871	0.8413
54	0.6538	0.7734	0.6978	3.8806	0.1566	0.7272	37.9000	0.1902	5.5388	422.0000	0.3012	1403.0000	0.9196	412.0000	448.0000	0.8867	0.8462
55	0.6250	0.7719	0.7017	3.4596	0.2094	0.7684	38.2000	0.1872	5.7039	378.0000	0.2698	1403.0000	0.9196	412.0000	448.0000	0.9045	0.8552
56	0.6484	0.7734	0.6960	3.8222	0.1725	0.7404	37.8000	0.1849	5.6411	402.0000	0.2851	1412.0000	0.9018	404.0000	448.0000	0.8909	0.8462
57	0.6486	0.7724	0.7007	3.7797	0.1798	0.7510	38.3000	0.1887	5.6054	397.0000	0.2844	1398.0000	0.9107	408.0000	448.0000	0.8906	0.8480
58	0.6507	0.7729	0.7017	3.7386	0.1917	0.7617	38.0000	0.1624	5.5957	387.0000	0.2701	1435.0000	0.9442	423.0000	448.0000	0.9066	0.8381
59	0.6467	0.7719	0.7016	3.5983	0.2037	0.7620	37.6000	0.1953	5.7667	385.0000	0.2776	1389.0000	0.8996	403.0000	448.0000	0.8934	0.8506
60	0.6559	0.7734	0.7014	3.7344	0.1877	0.7529	37.8000	0.1589	5.5887	390.0000	0.2834	1378.0000	0.9062	406.0000	448.0000	0.8977	0.8455
61	0.6170	0.7724	0.7004	3.4829	0.1867	0.7446	37.7000	0.1995	5.6058	381.0000	0.2714	1406.0000	0.9286	416.0000	448.0000	0.9068	0.8494
62	0.6311	0.7734	0.7001	3.7859	0.1734	0.7429	37.7000	0.1896	5.6296	401.0000	0.2916	1377.0000	0.9040	405.0000	448.0000	0.8889	0.8519
63	0.6361	0.7729	0.7004	3.8357	0.1950	0.7438	38.1000	0.1970	5.5430	411.0000	0.2903	1418.0000	0.9085	407.0000	448.0000	0.8914	0.8471
64	0.6374	0.7709	0.7025	3.3674	0.1997	0.7321	38.0000	0.1980	5.7170	391.0000	0.2813	1392.0000	0.9308	417.0000	448.0000	0.9009	0.8454
65	0.6484	0.7729	0.7015	3.7286	0.1939	0.7503	38.5000	0.1924	5.4593	394.0000	0.2767	1426.0000	0.9330	418.0000	448.0000	0.8990	0.8465
66	0.6461	0.7724	0.7020	3.6784	0.1819	0.7327	37.8000	0.1819	5.6619	403.0000	0.2834	1424.0000	0.9308	417.0000	448.0000	0.8954	0.8481
67	0.6277	0.7719	0.6984	3.4618	0.1643	0.7361	38.3000	0.1697	5.6537	396.0000	0.2907	1364.0000	0.9152	410.0000	448.0000	0.8922	0.8501
68	0.6341	0.7714	0.7046	3.3131	0.1832	0.7379	38.3000	0.1982	5.6542	404.0000	0.2945	1374.0000	0.8973	402.0000	448.0000	0.8894	0.8571
69	0.6418	0.7719	0.7025	3.5540	0.1768	0.7475	37.8000	0.1900	5.7475	393.0000	0.2823	1394.0000	0.9018	404.0000	448.0000	0.9032	0.8492
70	0.6247	0.7729	0.6990	3.4453	0.2018	0.7618	37.8000	0.1917	5.7393	386.0000	0.2795	1383.0000	0.8906	399.0000	448.0000	0.8908	0.8522
71	0.6228	0.7739	0.7066	3.3975	0.1932	0.7518	38.2000	0.1937	5.8238	398.0000	0.2899	1375.0000	0.8996	403.0000	448.0000	0.8931	0.8612
72	0.6306	0.7739	0.7015	3.7218	0.1915	0.7574	38.4000	0.1793	5.7105	388.0000	0.2715	1431.0000	0.9330	418.0000	448.0000	0.9057	0.8433
73	0.6433	0.7719	0.6991	3.5851	0.1724	0.7457	38.6000	0.1838	5.6856	403.0000	0.2922	1381.0000	0.9018	404.0000	448.0000	0.8863	0.8588
74	0.5943	0.7744	0.6982	3.6180	0.1901	0.7370	38.3000	0.2028	5.6551	396.0000	0.2880	1377.0000	0.8996	403.0000	448.0000	0.8954	0.8535
75	0.6512	0.7729	0.6970	3.8241	0.1842	0.7465	37.5000	0.1826	5.6309	403.0000	0.2910	1387.0000	0.8951	401.0000	448.0000	0.8854	0.8521
76	0.6387	0.7729	0.7008	3.6830	0.2030	0.7411	37.8000	0.1962	5.6111	407.0000	0.2891	1410.0000	0.9241	414.0000	448.0000	0.8816	0.8467
77	0.6357	0.7719	0.6990	3.4954	0.1960	0.7518	37.8000	0.2069	5.6822	400.0000	0.2827	1417.0000	0.9129	409.0000	448.0000	0.8899	0.8536
78	0.6368	0.7724	0.7022	3.4858	0.2001	0.7589	37.7000	0.1842	5.7470	388.0000	0.2764	1406.0000	0.9263	415.0000	448.0000	0.9011	0.8463
