accuracy	proportion	density	fuzziness	coverage	purity sounds	missing	csetsize	clusters	props	patterns predicted	predictable	removed	regular	purityx
32	0.5686	0.7878	0.4853	2.3898	0.1520	0.8024	36.3750	0.1137	4.1178	218.0000	0.2141	1021.0000	0.6086	297.0000	488.0000	0.9403	0.8274
33	0.5919	0.7927	0.4833	2.5531	0.1420	0.7835	35.8750	0.1231	4.0812	228.0000	0.2113	1083.0000	0.6311	308.0000	488.0000	0.9400	0.8139
34	0.6067	0.7949	0.4900	2.5796	0.1497	0.7916	36.2500	0.1461	4.1873	234.0000	0.2210	1061.0000	0.6127	299.0000	488.0000	0.9359	0.8270
35	0.5955	0.7944	0.4864	2.6981	0.1474	0.7688	36.3750	0.1426	4.1824	247.0000	0.2357	1050.0000	0.6066	296.0000	488.0000	0.9219	0.8157
36	0.5875	0.7916	0.4873	2.6242	0.1459	0.7754	36.1250	0.1338	4.1759	244.0000	0.2208	1107.0000	0.6639	324.0000	488.0000	0.9250	0.8085
37	0.5834	0.7834	0.4826	2.5925	0.1417	0.7793	36.3750	0.1387	4.0868	235.0000	0.2211	1065.0000	0.6373	311.0000	488.0000	0.9324	0.8128
38	0.5771	0.7850	0.4903	2.4465	0.1420	0.7754	36.3750	0.1329	4.1533	238.0000	0.2300	1037.0000	0.6148	300.0000	488.0000	0.9335	0.8260
39	0.6134	0.7993	0.4915	2.6442	0.1511	0.7800	36.3750	0.1402	4.1095	239.0000	0.2305	1040.0000	0.5799	283.0000	488.0000	0.9327	0.8166
40	0.5889	0.7883	0.4822	2.7111	0.1462	0.7790	36.5000	0.1332	4.0000	236.0000	0.2222	1066.0000	0.6660	325.0000	488.0000	0.9287	0.8206
41	0.5704	0.7889	0.4832	2.5675	0.1445	0.7805	35.8750	0.1521	4.1952	228.0000	0.2186	1045.0000	0.5984	292.0000	488.0000	0.9349	0.8139
42	0.5798	0.7834	0.4845	2.4771	0.1490	0.7866	36.5000	0.1193	4.1503	226.0000	0.2120	1069.0000	0.6270	306.0000	488.0000	0.9448	0.8192
43	0.6092	0.7889	0.4854	2.6626	0.1484	0.7852	35.8750	0.1234	4.1214	231.0000	0.2159	1073.0000	0.6414	313.0000	488.0000	0.9413	0.8156
44	0.5953	0.7823	0.4834	2.5498	0.1476	0.7912	36.3750	0.1207	3.9935	233.0000	0.2171	1075.0000	0.6270	306.0000	488.0000	0.9405	0.8169
45	0.5942	0.7817	0.4818	2.6717	0.1438	0.7730	36.5000	0.1363	4.0753	240.0000	0.2262	1063.0000	0.5984	292.0000	488.0000	0.9332	0.8192
46	0.5992	0.7867	0.4862	2.5635	0.1541	0.7939	36.5000	0.1309	4.0097	228.0000	0.2119	1079.0000	0.6311	308.0000	488.0000	0.9444	0.8182
47	0.5825	0.7872	0.4816	2.4752	0.1493	0.7607	36.7500	0.1533	4.2218	240.0000	0.2294	1048.0000	0.5820	284.0000	488.0000	0.9361	0.8226
48	0.5751	0.7823	0.4841	2.6393	0.1460	0.7932	36.2500	0.1522	4.0322	234.0000	0.2185	1073.0000	0.6373	311.0000	488.0000	0.9413	0.8210
49	0.5931	0.7850	0.4774	2.5838	0.1461	0.7937	36.1250	0.1393	4.0678	224.0000	0.2188	1026.0000	0.6045	295.0000	488.0000	0.9386	0.8315
50	0.5992	0.7889	0.4886	2.7045	0.1473	0.7725	36.2500	0.1542	3.9904	233.0000	0.2169	1076.0000	0.6373	311.0000	488.0000	0.9331	0.8089
51	0.5985	0.7867	0.4787	2.5829	0.1367	0.7802	36.3750	0.1677	4.0476	242.0000	0.2285	1062.0000	0.6025	294.0000	488.0000	0.9331	0.8141
52	0.5871	0.7867	0.4847	2.6118	0.1491	0.7786	36.6250	0.1496	4.1311	235.0000	0.2320	1015.0000	0.5471	267.0000	488.0000	0.9330	0.8221
53	0.5842	0.7812	0.4757	2.6282	0.1458	0.7772	36.5000	0.1243	4.0367	242.0000	0.2296	1057.0000	0.6148	300.0000	488.0000	0.9272	0.8235
54	0.6142	0.7916	0.4850	2.6489	0.1480	0.7820	36.7500	0.1192	4.0286	236.0000	0.2214	1068.0000	0.6455	315.0000	488.0000	0.9391	0.8144
55	0.6246	0.7955	0.4860	2.6052	0.1415	0.7830	36.8750	0.1418	4.1897	242.0000	0.2247	1079.0000	0.5943	290.0000	488.0000	0.9398	0.8146
56	0.5826	0.7971	0.4905	2.5624	0.1573	0.7858	36.8750	0.1325	4.2215	235.0000	0.2227	1058.0000	0.5922	289.0000	488.0000	0.9338	0.8203
57	0.5758	0.7801	0.4787	2.6101	0.1411	0.7840	35.8750	0.1442	4.2730	232.0000	0.2216	1049.0000	0.6230	304.0000	488.0000	0.9380	0.8191
58	0.5772	0.7812	0.4722	2.7054	0.1419	0.7830	36.3750	0.1417	4.0839	239.0000	0.2263	1059.0000	0.6107	298.0000	488.0000	0.9339	0.8163
59	0.6130	0.7922	0.4898	2.5621	0.1438	0.7815	36.5000	0.1358	4.0135	245.0000	0.2314	1062.0000	0.6066	296.0000	488.0000	0.9266	0.8167
60	0.5747	0.7878	0.4875	2.6877	0.1465	0.7744	36.6250	0.1287	4.1827	238.0000	0.2245	1063.0000	0.6168	301.0000	488.0000	0.9360	0.8176
61	0.5859	0.7883	0.4888	2.6517	0.1477	0.7792	36.7500	0.1311	4.0453	236.0000	0.2173	1088.0000	0.6332	309.0000	488.0000	0.9384	0.8164
62	0.6265	0.7861	0.4833	2.5826	0.1507	0.7948	36.7500	0.1136	4.0818	230.0000	0.2116	1090.0000	0.6516	318.0000	488.0000	0.9413	0.8204
63	0.5936	0.7845	0.4845	2.8022	0.1408	0.7754	36.5000	0.1316	4.0435	238.0000	0.2183	1092.0000	0.6598	322.0000	488.0000	0.9368	0.8085
64	0.5924	0.7955	0.4903	2.4530	0.1501	0.7869	36.6250	0.1244	3.9900	233.0000	0.2194	1064.0000	0.6148	300.0000	488.0000	0.9370	0.8188
65	0.5666	0.7861	0.4807	2.5340	0.1588	0.7872	36.6250	0.1326	3.9842	229.0000	0.2138	1073.0000	0.6475	316.0000	488.0000	0.9385	0.8132
66	0.5909	0.7966	0.4959	2.6713	0.1555	0.7833	36.5000	0.1360	4.3311	240.0000	0.2228	1080.0000	0.6004	293.0000	488.0000	0.9333	0.8107
67	0.5928	0.7872	0.4778	2.6097	0.1425	0.7774	36.5000	0.1374	4.0949	228.0000	0.2123	1076.0000	0.6475	316.0000	488.0000	0.9387	0.8074
68	0.5758	0.7933	0.4874	2.6158	0.1456	0.7704	36.8750	0.1483	4.1400	239.0000	0.2201	1088.0000	0.6148	300.0000	488.0000	0.9347	0.8211
69	0.5681	0.7795	0.4830	2.6793	0.1398	0.7796	36.5000	0.1277	3.7397	243.0000	0.2250	1082.0000	0.6455	315.0000	488.0000	0.9325	0.8079
70	0.5790	0.7966	0.4990	2.6664	0.1426	0.7772	36.6250	0.1316	4.1013	244.0000	0.2236	1094.0000	0.6270	306.0000	488.0000	0.9351	0.8136
71	0.5685	0.7927	0.4885	2.7037	0.1437	0.7848	36.3750	0.1622	4.1322	234.0000	0.2191	1070.0000	0.6045	295.0000	488.0000	0.9280	0.8276
72	0.6035	0.7872	0.4819	2.6043	0.1509	0.7878	35.8750	0.1195	4.1632	227.0000	0.2228	1021.0000	0.5902	288.0000	488.0000	0.9363	0.8213
73	0.6047	0.7922	0.4893	2.4456	0.1540	0.8030	36.3750	0.1164	4.2432	227.0000	0.2116	1075.0000	0.5984	292.0000	488.0000	0.9358	0.8209
74	0.5910	0.7850	0.4799	2.5994	0.1350	0.7837	36.3750	0.1466	4.0390	238.0000	0.2315	1031.0000	0.6311	308.0000	488.0000	0.9389	0.8265
75	0.5845	0.7905	0.4952	2.4863	0.1532	0.7833	36.5000	0.1433	4.1489	233.0000	0.2200	1061.0000	0.6332	309.0000	488.0000	0.9397	0.8291
76	0.5990	0.7922	0.4839	2.6393	0.1455	0.7822	36.5000	0.1392	4.0514	236.0000	0.2204	1073.0000	0.5984	292.0000	488.0000	0.9310	0.8216
