accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
51	0.5358	0.5844	0.3447	0.7912	0.0799	0.7603	35.5000	0.1493	765.0000	172.0000	0.2248	768.0000
52	0.5331	0.5800	0.3547	0.8194	0.0829	0.7866	35.3750	0.1462	736.0000	155.0000	0.2106	740.0000
53	0.5133	0.5745	0.3515	0.7868	0.0794	0.7434	35.8750	0.1805	753.0000	175.0000	0.2324	755.0000
54	0.5116	0.5844	0.3520	0.8052	0.0810	0.7458	35.3750	0.1559	766.0000	168.0000	0.2193	771.0000
55	0.5245	0.5882	0.3559	0.8023	0.0839	0.7596	35.6250	0.1623	756.0000	177.0000	0.2341	759.0000
56	0.5506	0.5706	0.3637	0.8056	0.0872	0.7582	35.3750	0.1359	749.0000	174.0000	0.2323	753.0000
57	0.5211	0.5833	0.3586	0.8037	0.0811	0.7486	35.1250	0.1532	763.0000	173.0000	0.2267	768.0000
58	0.5447	0.5734	0.3579	0.8112	0.0870	0.7670	35.2500	0.1542	735.0000	165.0000	0.2245	740.0000
59	0.5404	0.5816	0.3509	0.8094	0.0891	0.7551	35.5000	0.1546	739.0000	172.0000	0.2327	741.0000
60	0.4991	0.5844	0.3746	0.7942	0.0856	0.7588	35.1250	0.1539	773.0000	174.0000	0.2251	777.0000
61	0.5456	0.5899	0.3612	0.8012	0.0853	0.7448	35.6250	0.1568	763.0000	179.0000	0.2346	766.0000
62	0.5145	0.5767	0.3451	0.7874	0.0818	0.7415	36.2500	0.1791	761.0000	177.0000	0.2326	763.0000
63	0.5120	0.5712	0.3375	0.7919	0.0805	0.7381	35.8750	0.1727	728.0000	177.0000	0.2431	733.0000
64	0.5378	0.5761	0.3471	0.7914	0.0813	0.7469	35.6250	0.1694	744.0000	178.0000	0.2392	752.0000
65	0.5620	0.5904	0.3736	0.7882	0.0921	0.7488	35.0000	0.1488	736.0000	178.0000	0.2418	739.0000
66	0.5113	0.5607	0.3372	0.8132	0.0761	0.7473	35.5000	0.1751	673.0000	165.0000	0.2452	679.0000
67	0.5164	0.5800	0.3417	0.8091	0.0791	0.7537	35.8750	0.1531	741.0000	174.0000	0.2348	744.0000
68	0.5065	0.5734	0.3512	0.7888	0.0779	0.7625	34.8750	0.1683	761.0000	164.0000	0.2155	766.0000
69	0.5148	0.5756	0.3663	0.8040	0.0844	0.7443	36.1250	0.1660	738.0000	176.0000	0.2385	743.0000
70	0.5030	0.5684	0.3490	0.7918	0.0780	0.7400	35.5000	0.1514	721.0000	165.0000	0.2288	726.0000
71	0.4833	0.5860	0.3729	0.7891	0.0856	0.7400	35.1250	0.1816	783.0000	188.0000	0.2401	785.0000
72	0.5006	0.5816	0.3583	0.8086	0.0849	0.7429	35.6250	0.1412	726.0000	180.0000	0.2479	732.0000
73	0.4977	0.5734	0.3376	0.8069	0.0813	0.7467	35.2500	0.1656	695.0000	167.0000	0.2403	698.0000
74	0.5236	0.5789	0.3475	0.7996	0.0852	0.7543	34.7500	0.1582	730.0000	176.0000	0.2411	732.0000
75	0.5362	0.5882	0.3571	0.8172	0.0856	0.7807	35.5000	0.1371	774.0000	163.0000	0.2106	777.0000
76	0.5128	0.5822	0.3621	0.7906	0.0779	0.7272	35.0000	0.1842	741.0000	191.0000	0.2578	746.0000
77	0.5345	0.5783	0.3484	0.7899	0.0803	0.7308	35.6250	0.1736	738.0000	176.0000	0.2385	742.0000
