accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
51	0.3667	0.4616	0.3323	0.8117	0.0676	0.6273	35.8947	0.3410	674.0000	186.0000	0.2760	697.0000
52	0.3839	0.4675	0.3569	0.8181	0.0688	0.6537	35.8947	0.3005	696.0000	182.0000	0.2615	709.0000
53	0.4067	0.4679	0.3476	0.8076	0.0669	0.6465	36.5263	0.2990	696.0000	187.0000	0.2687	717.0000
54	0.3847	0.4716	0.3609	0.8183	0.0711	0.6464	36.2105	0.3152	720.0000	189.0000	0.2625	739.0000
55	0.3841	0.4698	0.3488	0.8088	0.0709	0.6451	36.4211	0.3152	722.0000	190.0000	0.2632	744.0000
56	0.4056	0.4686	0.3557	0.8185	0.0698	0.6430	36.0526	0.3110	670.0000	186.0000	0.2776	691.0000
57	0.3868	0.4777	0.3625	0.8278	0.0704	0.6423	35.8947	0.3196	705.0000	188.0000	0.2667	724.0000
58	0.3911	0.4675	0.3487	0.8241	0.0660	0.6385	35.9474	0.3223	650.0000	182.0000	0.2800	664.0000
59	0.4022	0.4719	0.3598	0.8075	0.0690	0.6651	36.2632	0.2936	674.0000	184.0000	0.2730	693.0000
60	0.3636	0.4665	0.3506	0.8244	0.0673	0.6399	36.1579	0.3237	667.0000	188.0000	0.2819	682.0000
61	0.3897	0.4661	0.3512	0.8203	0.0687	0.6298	36.1053	0.3304	649.0000	187.0000	0.2881	664.0000
62	0.3813	0.4772	0.3666	0.8019	0.0709	0.6601	36.2105	0.2967	730.0000	187.0000	0.2562	757.0000
63	0.3745	0.4675	0.3506	0.8172	0.0694	0.6441	36.1053	0.3108	669.0000	183.0000	0.2735	690.0000
64	0.3788	0.4684	0.3538	0.7929	0.0680	0.6329	35.8947	0.3196	703.0000	196.0000	0.2788	721.0000
65	0.3784	0.4658	0.3621	0.8131	0.0688	0.6469	36.0526	0.3116	712.0000	194.0000	0.2725	732.0000
66	0.3752	0.4661	0.3448	0.8121	0.0663	0.6470	36.0000	0.3195	677.0000	188.0000	0.2777	697.0000
67	0.3859	0.4677	0.3534	0.8060	0.0685	0.6422	36.0526	0.3166	683.0000	194.0000	0.2840	694.0000
68	0.3913	0.4670	0.3465	0.8154	0.0690	0.6602	36.0526	0.3092	677.0000	181.0000	0.2674	693.0000
69	0.3940	0.4672	0.3485	0.8203	0.0663	0.6363	36.2105	0.3226	697.0000	193.0000	0.2769	712.0000
70	0.3511	0.4686	0.3525	0.8002	0.0683	0.6360	35.4737	0.3188	683.0000	202.0000	0.2958	703.0000
71	0.3859	0.4733	0.3618	0.8031	0.0711	0.6597	36.0000	0.2908	731.0000	192.0000	0.2627	749.0000
72	0.3894	0.4684	0.3547	0.8066	0.0694	0.6604	36.0526	0.2874	716.0000	180.0000	0.2514	738.0000
73	0.3583	0.4679	0.3533	0.8110	0.0686	0.6259	36.1579	0.3298	721.0000	193.0000	0.2677	738.0000
74	0.4102	0.4735	0.3587	0.8228	0.0707	0.6630	36.1579	0.2949	696.0000	182.0000	0.2615	719.0000
75	0.3861	0.4721	0.3400	0.8282	0.0679	0.6337	36.3158	0.3319	682.0000	187.0000	0.2742	692.0000
76	0.3857	0.4723	0.3552	0.8074	0.0698	0.6443	36.0000	0.3166	715.0000	196.0000	0.2741	738.0000
77	0.3851	0.4644	0.3453	0.8301	0.0670	0.6504	36.0526	0.3118	689.0000	176.0000	0.2554	706.0000
78	0.3514	0.4695	0.3527	0.8047	0.0706	0.6467	36.1053	0.3043	698.0000	196.0000	0.2808	714.0000
79	0.3738	0.4740	0.3611	0.8157	0.0725	0.6342	36.2632	0.3277	668.0000	190.0000	0.2844	686.0000
80	0.3840	0.4656	0.3449	0.8043	0.0675	0.6477	35.8947	0.3148	689.0000	186.0000	0.2700	711.0000
81	0.3736	0.4649	0.3393	0.8229	0.0650	0.6175	36.0000	0.3407	627.0000	192.0000	0.3062	642.0000
82	0.3875	0.4693	0.3453	0.8237	0.0679	0.6307	35.9474	0.3294	666.0000	184.0000	0.2763	681.0000
83	0.3964	0.4635	0.3343	0.8246	0.0665	0.6478	35.5263	0.3057	636.0000	171.0000	0.2689	654.0000
84	0.3765	0.4709	0.3561	0.7961	0.0684	0.6598	36.1053	0.2981	670.0000	185.0000	0.2761	689.0000
85	0.3917	0.4651	0.3458	0.8223	0.0674	0.6435	36.1579	0.3214	637.0000	177.0000	0.2779	647.0000
86	0.3789	0.4658	0.3519	0.8187	0.0678	0.6451	36.1053	0.3098	692.0000	186.0000	0.2688	703.0000
87	0.3846	0.4682	0.3466	0.8057	0.0681	0.6488	36.1579	0.3123	675.0000	183.0000	0.2711	692.0000
88	0.3782	0.4623	0.3392	0.8251	0.0650	0.6342	35.8947	0.3271	669.0000	181.0000	0.2706	691.0000
89	0.4149	0.4682	0.3516	0.8164	0.0679	0.6509	36.0526	0.2989	713.0000	192.0000	0.2693	732.0000
90	0.3853	0.4661	0.3563	0.8099	0.0681	0.6500	36.2632	0.3111	699.0000	185.0000	0.2647	722.0000
91	0.3995	0.4712	0.3498	0.8111	0.0703	0.6607	36.3684	0.2915	711.0000	186.0000	0.2616	733.0000
92	0.3539	0.4679	0.3484	0.8231	0.0654	0.6188	36.3158	0.3418	682.0000	208.0000	0.3050	706.0000
93	0.3893	0.4721	0.3481	0.8116	0.0676	0.6581	35.8947	0.3014	673.0000	185.0000	0.2749	692.0000
94	0.3893	0.4679	0.3405	0.8182	0.0649	0.6500	36.0526	0.3110	677.0000	184.0000	0.2718	697.0000
95	0.3742	0.4628	0.3488	0.8247	0.0635	0.6423	35.8947	0.3038	695.0000	183.0000	0.2633	706.0000
96	0.3665	0.4712	0.3584	0.8028	0.0683	0.6462	36.2105	0.3242	692.0000	192.0000	0.2775	713.0000
97	0.3983	0.4735	0.3566	0.7906	0.0705	0.6752	35.8421	0.2774	746.0000	187.0000	0.2507	765.0000
98	0.3998	0.4670	0.3537	0.8072	0.0659	0.6557	35.9474	0.3003	686.0000	188.0000	0.2741	702.0000
99	0.3860	0.4679	0.3541	0.7976	0.0695	0.6455	36.1579	0.3066	684.0000	190.0000	0.2778	698.0000
100	0.3955	0.4668	0.3513	0.8200	0.0675	0.6479	36.1053	0.3102	704.0000	186.0000	0.2642	720.0000
101	0.3798	0.4719	0.3499	0.8082	0.0698	0.6555	36.0526	0.3052	721.0000	186.0000	0.2580	742.0000
102	0.3905	0.4675	0.3449	0.8012	0.0653	0.6256	36.0000	0.3437	683.0000	205.0000	0.3001	706.0000
103	0.3693	0.4630	0.3501	0.8334	0.0675	0.6294	36.1579	0.3375	663.0000	187.0000	0.2821	684.0000
