accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
35	0.6375	0.2992	0.6484	2.9358	0.1265	0.8228	32.9286	0.0911	3.5339	377.0000	0.1573	2399.0000	0.7932	4980.0000	6278.0000	0.9750	0.8049
36	0.6517	0.2983	0.6375	2.6297	0.1285	0.8340	32.7857	0.0867	3.5423	361.0000	0.1539	2347.0000	0.7851	4929.0000	6278.0000	0.9736	0.8173
37	0.6426	0.2976	0.6345	2.9281	0.1206	0.8242	32.7857	0.0894	3.5280	374.0000	0.1592	2351.0000	0.7894	4956.0000	6278.0000	0.9711	0.8007
38	0.6376	0.2987	0.6443	2.9231	0.1276	0.8259	32.7143	0.0893	3.5153	374.0000	0.1564	2394.0000	0.8034	5044.0000	6278.0000	0.9695	0.8045
39	0.6336	0.2981	0.6435	2.8886	0.1260	0.8190	33.0000	0.0965	3.5428	382.0000	0.1614	2369.0000	0.7923	4974.0000	6278.0000	0.9692	0.8016
40	0.6323	0.2963	0.6410	2.8859	0.1246	0.8124	32.8571	0.0970	3.5068	379.0000	0.1597	2375.0000	0.7926	4976.0000	6278.0000	0.9672	0.8006
41	0.6505	0.2970	0.6406	2.8282	0.1241	0.8242	32.7143	0.0895	3.5205	364.0000	0.1527	2386.0000	0.7942	4986.0000	6278.0000	0.9761	0.8001
42	0.6453	0.2969	0.6454	2.7500	0.1249	0.8227	32.8571	0.0913	3.4962	366.0000	0.1544	2372.0000	0.7974	5006.0000	6278.0000	0.9751	0.8100
43	0.6423	0.3001	0.6416	2.9403	0.1228	0.8193	32.8571	0.0916	3.5367	379.0000	0.1582	2397.0000	0.7990	5016.0000	6278.0000	0.9666	0.7998
44	0.6488	0.2975	0.6403	2.8623	0.1310	0.8221	32.5000	0.0959	3.5395	368.0000	0.1546	2382.0000	0.7904	4962.0000	6278.0000	0.9731	0.8059
45	0.6398	0.2984	0.6420	2.8983	0.1299	0.8236	32.8571	0.0932	3.6086	366.0000	0.1565	2340.0000	0.7768	4877.0000	6278.0000	0.9748	0.8029
