accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.4425	0.3177	0.3316	2.3058	0.0244	0.7035	33.7000	0.2168	2.6931	154.0000	0.2330	677.0000	0.5361	720.0000	1343.0000	0.9188	0.7869
2	0.4953	0.3187	0.3266	2.2177	0.0279	0.7413	33.1000	0.1878	2.8331	135.0000	0.2192	643.0000	0.5041	677.0000	1343.0000	0.9300	0.8099
3	0.4451	0.3192	0.3427	2.3093	0.0254	0.7071	32.6000	0.2015	2.8189	159.0000	0.2520	679.0000	0.5428	729.0000	1343.0000	0.9249	0.8063
4	0.5150	0.3177	0.3321	2.3359	0.0280	0.7206	32.9000	0.2107	2.8207	152.0000	0.2397	661.0000	0.5190	697.0000	1343.0000	0.9153	0.8040
5	0.5477	0.3172	0.3357	2.3804	0.0287	0.7385	32.8000	0.1839	2.7872	134.0000	0.2151	652.0000	0.5354	719.0000	1343.0000	0.9248	0.8088
6	0.5348	0.3172	0.3406	2.1081	0.0301	0.7494	33.1000	0.1845	2.7282	136.0000	0.2148	657.0000	0.5644	758.0000	1343.0000	0.9376	0.8077
7	0.4947	0.3202	0.3301	2.2700	0.0272	0.7366	32.9000	0.1795	2.7295	142.0000	0.2129	700.0000	0.5369	721.0000	1343.0000	0.9343	0.7928
8	0.4778	0.3187	0.3246	2.2740	0.0262	0.7225	33.6000	0.2061	2.7892	142.0000	0.2198	650.0000	0.5227	702.0000	1343.0000	0.9292	0.8082
9	0.5165	0.3182	0.3371	2.3427	0.0290	0.7080	32.7000	0.2225	2.7528	143.0000	0.2321	642.0000	0.5361	720.0000	1343.0000	0.9206	0.8033
10	0.5157	0.3182	0.3270	2.1759	0.0262	0.7289	32.9000	0.1933	2.8068	134.0000	0.2204	631.0000	0.5011	673.0000	1343.0000	0.9382	0.8122
11	0.5594	0.3187	0.3525	2.3294	0.0306	0.7513	32.3000	0.1709	2.7207	125.0000	0.1994	680.0000	0.5652	759.0000	1343.0000	0.9574	0.7952
12	0.5027	0.3182	0.3308	2.3274	0.0291	0.7278	33.0000	0.1861	2.7839	145.0000	0.2269	669.0000	0.5272	708.0000	1343.0000	0.9223	0.7838
13	0.5271	0.3202	0.3347	2.1008	0.0293	0.7252	33.1000	0.2211	2.8070	148.0000	0.2309	665.0000	0.5287	710.0000	1343.0000	0.9173	0.8208
14	0.5372	0.3187	0.3338	2.5344	0.0305	0.7191	33.2000	0.1910	2.7453	153.0000	0.2273	698.0000	0.5495	738.0000	1343.0000	0.9198	0.7874
15	0.5343	0.3187	0.3434	2.3577	0.0314	0.7332	32.2000	0.1906	2.8806	144.0000	0.2254	657.0000	0.4989	670.0000	1343.0000	0.9300	0.8058
16	0.5147	0.3177	0.3308	2.3228	0.0307	0.7091	32.3000	0.2283	2.7971	155.0000	0.2403	666.0000	0.5175	695.0000	1343.0000	0.9084	0.8112
17	0.4858	0.3172	0.3361	2.2208	0.0268	0.7130	32.3000	0.2082	2.7126	157.0000	0.2404	684.0000	0.5570	748.0000	1343.0000	0.9196	0.8101
18	0.5060	0.3187	0.3395	2.1604	0.0274	0.7251	33.0000	0.2063	2.7306	146.0000	0.2260	667.0000	0.5473	735.0000	1343.0000	0.9205	0.7943
19	0.4781	0.3182	0.3363	2.3125	0.0294	0.7200	33.1000	0.2006	2.7057	150.0000	0.2246	688.0000	0.5212	700.0000	1343.0000	0.9172	0.8060
20	0.5337	0.3182	0.3452	2.2680	0.0295	0.7314	33.9000	0.1920	2.6849	150.0000	0.2171	724.0000	0.5719	768.0000	1343.0000	0.9254	0.8012
21	0.4811	0.3187	0.3490	2.4012	0.0275	0.7098	32.3000	0.2193	2.8702	160.0000	0.2564	658.0000	0.5220	701.0000	1343.0000	0.9134	0.8166
22	0.4731	0.3182	0.3376	2.1879	0.0265	0.7111	33.0000	0.2259	2.7076	148.0000	0.2305	676.0000	0.5577	749.0000	1343.0000	0.9216	0.8040
23	0.5480	0.3202	0.3298	2.7236	0.0303	0.7208	33.3000	0.1840	2.7737	142.0000	0.2276	673.0000	0.5264	707.0000	1343.0000	0.9302	0.7666
24	0.5386	0.3187	0.3300	2.4000	0.0282	0.7170	31.8000	0.1901	2.9013	158.0000	0.2496	645.0000	0.4981	669.0000	1343.0000	0.9085	0.8080
25	0.5434	0.3182	0.3385	2.2817	0.0300	0.7412	32.8000	0.1884	2.8992	145.0000	0.2385	639.0000	0.4952	665.0000	1343.0000	0.9233	0.8100
26	0.5226	0.3177	0.3286	2.2326	0.0261	0.7320	32.6000	0.1976	2.8211	136.0000	0.2274	632.0000	0.5287	710.0000	1343.0000	0.9272	0.8069
27	0.5217	0.3177	0.3272	2.3280	0.0282	0.7313	33.1000	0.1853	2.7531	145.0000	0.2200	686.0000	0.5339	717.0000	1343.0000	0.9373	0.7938
28	0.4849	0.3202	0.3385	2.4457	0.0267	0.7160	33.8000	0.1952	2.6787	151.0000	0.2348	682.0000	0.5562	747.0000	1343.0000	0.9238	0.7939
29	0.4859	0.3187	0.3373	2.4152	0.0309	0.7115	32.6000	0.2087	2.7123	148.0000	0.2199	696.0000	0.5488	737.0000	1343.0000	0.9282	0.7936
30	0.5075	0.3172	0.3483	2.3845	0.0285	0.7117	32.8000	0.2288	2.7706	149.0000	0.2314	671.0000	0.5517	741.0000	1343.0000	0.9270	0.7952
31	0.5271	0.3177	0.3334	2.1800	0.0345	0.7227	32.6000	0.2040	2.8346	148.0000	0.2226	689.0000	0.5086	683.0000	1343.0000	0.9303	0.8120
32	0.5315	0.3187	0.3405	2.2777	0.0290	0.7397	32.5000	0.1997	2.7459	138.0000	0.2204	659.0000	0.5421	728.0000	1343.0000	0.9287	0.7853
33	0.4768	0.3177	0.3341	2.2346	0.0264	0.6949	33.1000	0.2354	2.7919	161.0000	0.2635	648.0000	0.5153	692.0000	1343.0000	0.9012	0.7968
34	0.4907	0.3177	0.3210	2.2439	0.0265	0.7131	32.9000	0.2159	2.6653	144.0000	0.2293	660.0000	0.5316	714.0000	1343.0000	0.9212	0.7904
35	0.4768	0.3192	0.3452	2.3863	0.0272	0.7134	32.2000	0.1958	2.7377	149.0000	0.2317	673.0000	0.5622	755.0000	1343.0000	0.9212	0.7869
36	0.5617	0.3197	0.3436	2.3202	0.0334	0.7562	33.5000	0.1883	2.8752	137.0000	0.2199	662.0000	0.5249	705.0000	1343.0000	0.9230	0.8006
