accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
41	0.5083	0.5684	0.3628	0.8115	0.0780	0.7567	35.6250	0.1540	3.3791	171.0000	0.2330	736.0000	0.4665	459.0000	984.0000
42	0.5437	0.5750	0.3587	0.7869	0.0788	0.7535	36.2500	0.1568	3.2918	174.0000	0.2289	765.0000	0.4807	473.0000	984.0000
43	0.4832	0.5789	0.3489	0.8067	0.0729	0.7335	35.8750	0.1745	3.4082	171.0000	0.2320	742.0000	0.4482	441.0000	984.0000
44	0.5298	0.5728	0.3510	0.8056	0.0782	0.7720	35.0000	0.1309	3.2542	171.0000	0.2244	765.0000	0.4878	480.0000	984.0000
45	0.5306	0.5811	0.3641	0.7840	0.0803	0.7493	35.2500	0.1611	3.2173	174.0000	0.2361	740.0000	0.4817	474.0000	984.0000
46	0.5433	0.5745	0.3610	0.7986	0.0816	0.7688	35.0000	0.1413	3.3648	170.0000	0.2288	747.0000	0.4624	455.0000	984.0000
47	0.5402	0.5816	0.3558	0.8038	0.0849	0.7525	35.7500	0.1545	3.2788	170.0000	0.2188	783.0000	0.5030	495.0000	984.0000
48	0.5170	0.5772	0.3526	0.7946	0.0826	0.7553	35.2500	0.1584	3.3214	168.0000	0.2249	749.0000	0.4807	473.0000	984.0000
49	0.5346	0.5800	0.3631	0.8050	0.0788	0.7528	35.3750	0.1663	3.3907	170.0000	0.2351	727.0000	0.4604	453.0000	984.0000
50	0.5253	0.5844	0.3585	0.7879	0.0782	0.7611	34.7500	0.1462	3.2695	176.0000	0.2192	807.0000	0.4827	475.0000	984.0000
51	0.5265	0.5717	0.3447	0.8020	0.0723	0.7507	36.0000	0.1604	3.2639	173.0000	0.2430	714.0000	0.4583	451.0000	984.0000
52	0.5009	0.5761	0.3644	0.7838	0.0698	0.7508	35.7500	0.1507	3.2455	174.0000	0.2302	762.0000	0.5091	501.0000	984.0000
53	0.5330	0.5706	0.3501	0.7797	0.0791	0.7645	35.3750	0.1541	3.3091	168.0000	0.2327	726.0000	0.4604	453.0000	984.0000
