accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.8060	0.6555	0.3496	3.0204	0.2083	0.8703	17.2000	0.0774	4.1374	123.0000	0.1111	1125.0000	0.6487	735.0000	1133.0000	0.9671	0.7744
2	0.8260	0.6337	0.3491	2.4749	0.1812	0.8706	17.2000	0.0563	3.9132	110.0000	0.1117	1015.0000	0.6302	714.0000	1133.0000	0.9616	0.7960
3	0.8111	0.6255	0.3507	2.5573	0.1680	0.8714	17.1000	0.0767	3.7819	100.0000	0.1101	917.0000	0.5949	674.0000	1133.0000	0.9618	0.8051
4	0.8074	0.6251	0.3553	2.6400	0.1682	0.8663	17.1000	0.0707	3.7934	94.0000	0.1039	914.0000	0.5596	634.0000	1133.0000	0.9705	0.7893
5	0.8048	0.6222	0.3535	2.4301	0.1493	0.8739	17.2000	0.0698	3.8167	89.0000	0.1056	865.0000	0.5490	622.0000	1133.0000	0.9699	0.8219
6	0.8044	0.6119	0.3429	2.6439	0.1417	0.8581	17.1000	0.0795	3.6972	98.0000	0.1142	862.0000	0.5393	611.0000	1133.0000	0.9513	0.8079
7	0.8308	0.6201	0.3563	2.5117	0.1761	0.8727	17.0000	0.0769	3.8230	88.0000	0.1089	856.0000	0.5534	627.0000	1133.0000	0.9661	0.8025
8	0.8090	0.6106	0.3406	2.5085	0.1737	0.8766	17.0000	0.0784	3.6810	93.0000	0.1054	885.0000	0.5534	627.0000	1133.0000	0.9616	0.7950
9	0.8292	0.6189	0.3559	2.5106	0.1630	0.8803	17.1000	0.0652	3.6849	89.0000	0.1000	893.0000	0.5490	622.0000	1133.0000	0.9698	0.8027
10	0.8230	0.6143	0.3522	2.5711	0.1772	0.8809	17.1000	0.0737	3.6121	84.0000	0.0952	907.0000	0.5711	647.0000	1133.0000	0.9757	0.7925
