accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
36	0.8487	0.4285	0.1767	1.5984	0.0421	0.8783	16.8000	0.0773	3.0133	40.0000	0.1231	371.0000	0.2655	451.0000	1699.0000	0.9677	0.8841
37	0.7965	0.4281	0.1829	1.7978	0.0479	0.8559	17.0000	0.0956	2.9572	57.0000	0.1400	445.0000	0.2890	491.0000	1699.0000	0.9461	0.8673
38	0.7727	0.4236	0.1822	1.7644	0.0431	0.8611	17.1000	0.1077	2.8762	54.0000	0.1436	450.0000	0.3137	533.0000	1699.0000	0.9511	0.8533
39	0.7464	0.4215	0.1727	1.9064	0.0357	0.8623	16.9000	0.1066	2.9651	49.0000	0.1300	406.0000	0.2702	459.0000	1699.0000	0.9581	0.8545
40	0.8149	0.4260	0.1700	1.8182	0.0435	0.8501	16.7000	0.1093	2.8221	49.0000	0.1317	418.0000	0.2878	489.0000	1699.0000	0.9569	0.8714
41	0.8134	0.4289	0.1760	1.7635	0.0460	0.8873	17.0000	0.0835	2.8230	44.0000	0.1089	444.0000	0.3025	514.0000	1699.0000	0.9662	0.8690
42	0.7983	0.4269	0.1624	1.7581	0.0346	0.8574	17.0000	0.1023	2.7527	55.0000	0.1637	401.0000	0.2737	465.0000	1699.0000	0.9401	0.8827
43	0.8128	0.4265	0.1705	1.8624	0.0431	0.8644	17.0000	0.1112	2.7190	47.0000	0.1196	436.0000	0.3037	516.0000	1699.0000	0.9679	0.8637
44	0.8001	0.4265	0.1818	1.9587	0.0465	0.8766	16.9000	0.0984	2.9162	49.0000	0.1321	412.0000	0.2949	501.0000	1699.0000	0.9490	0.8406
45	0.7956	0.4219	0.1684	1.9337	0.0332	0.8322	16.8000	0.1068	2.8376	55.0000	0.1642	407.0000	0.3008	511.0000	1699.0000	0.9582	0.8604
46	0.8199	0.4273	0.1774	1.8205	0.0400	0.8573	16.9000	0.0970	2.8197	53.0000	0.1440	429.0000	0.3102	527.0000	1699.0000	0.9417	0.8763
47	0.8126	0.4215	0.1714	1.7740	0.0411	0.8758	17.0000	0.0871	2.6699	50.0000	0.1272	438.0000	0.3067	521.0000	1699.0000	0.9521	0.8778
48	0.8082	0.4277	0.1671	1.8294	0.0371	0.8507	16.9000	0.1000	2.9611	55.0000	0.1447	422.0000	0.2872	488.0000	1699.0000	0.9526	0.8534
49	0.8085	0.4236	0.1625	1.6783	0.0425	0.8531	17.1000	0.1048	2.8979	50.0000	0.1437	401.0000	0.2537	431.0000	1699.0000	0.9601	0.8685
50	0.8175	0.4149	0.1642	1.7690	0.0369	0.8552	16.8000	0.1025	2.8297	49.0000	0.1346	407.0000	0.2731	464.0000	1699.0000	0.9558	0.8701
51	0.7620	0.4186	0.1565	1.8878	0.0387	0.8247	17.0000	0.1331	2.6561	50.0000	0.1370	410.0000	0.2790	474.0000	1699.0000	0.9561	0.8515
52	0.8219	0.4236	0.1699	1.6921	0.0455	0.8758	16.8000	0.0817	2.8124	50.0000	0.1276	445.0000	0.2855	485.0000	1699.0000	0.9573	0.8843
53	0.8127	0.4219	0.1636	1.7107	0.0394	0.8849	16.7000	0.0867	2.8415	45.0000	0.1264	394.0000	0.2749	467.0000	1699.0000	0.9492	0.8863
54	0.8392	0.4207	0.1678	1.8134	0.0421	0.8767	16.9000	0.0896	2.9520	47.0000	0.1351	402.0000	0.2819	479.0000	1699.0000	0.9577	0.8733
55	0.7882	0.4277	0.1655	1.7568	0.0389	0.8419	16.9000	0.1189	2.7446	55.0000	0.1403	444.0000	0.2972	505.0000	1699.0000	0.9527	0.8530
56	0.8259	0.4219	0.1689	1.7832	0.0400	0.8358	16.8000	0.0877	2.6660	58.0000	0.1547	452.0000	0.3031	515.0000	1699.0000	0.9447	0.8498
