accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.5946	0.2499	0.6512	0.7297	0.0737	0.8191	33.1333	0.0961	2439.0000	349.0000	0.1431	2471.0000
2	0.5946	0.2499	0.6458	0.7387	0.0778	0.8160	33.2667	0.1010	2431.0000	342.0000	0.1407	2461.0000
3	0.5932	0.2499	0.6497	0.7289	0.0747	0.8160	32.7333	0.1019	2454.0000	347.0000	0.1414	2474.0000
4	0.5861	0.2499	0.6578	0.7474	0.0769	0.8206	32.9333	0.0980	2452.0000	340.0000	0.1387	2486.0000
5	0.5865	0.2499	0.6454	0.7347	0.0739	0.8109	32.7333	0.1026	2413.0000	354.0000	0.1467	2456.0000
6	0.5778	0.2499	0.6469	0.7389	0.0787	0.8118	32.7333	0.1039	2451.0000	362.0000	0.1477	2483.0000
7	0.5820	0.2499	0.6547	0.7446	0.0784	0.8205	33.0000	0.0975	2467.0000	335.0000	0.1358	2498.0000
8	0.5853	0.2499	0.6532	0.7424	0.0764	0.8182	33.0000	0.0947	2480.0000	348.0000	0.1403	2525.0000
9	0.6013	0.2499	0.6546	0.7278	0.0784	0.8161	33.0667	0.1013	2469.0000	351.0000	0.1422	2492.0000
10	0.5933	0.2499	0.6456	0.7537	0.0766	0.8185	33.0667	0.1001	2429.0000	346.0000	0.1424	2462.0000
11	0.6035	0.2499	0.6472	0.7472	0.0808	0.8262	32.9333	0.0963	2424.0000	342.0000	0.1411	2460.0000
12	0.5824	0.2499	0.6425	0.7359	0.0788	0.8100	32.6667	0.1031	2425.0000	357.0000	0.1472	2451.0000
13	0.5997	0.2499	0.6552	0.7355	0.0814	0.8116	33.0667	0.1044	2477.0000	348.0000	0.1405	2494.0000
14	0.5914	0.2499	0.6471	0.7149	0.0758	0.8096	33.1333	0.1023	2469.0000	364.0000	0.1474	2498.0000
15	0.5771	0.2499	0.6500	0.7258	0.0779	0.8051	33.0000	0.1080	2423.0000	360.0000	0.1486	2461.0000
16	0.5809	0.2499	0.6522	0.7320	0.0756	0.8156	33.1333	0.0993	2464.0000	347.0000	0.1408	2498.0000
17	0.5777	0.2499	0.6454	0.7311	0.0814	0.8150	33.0667	0.0978	2424.0000	347.0000	0.1432	2455.0000
18	0.5904	0.2499	0.6505	0.7301	0.0765	0.8146	32.6667	0.0971	2451.0000	345.0000	0.1408	2479.0000
19	0.5934	0.2499	0.6505	0.7351	0.0757	0.8149	33.0000	0.0991	2449.0000	346.0000	0.1413	2465.0000
20	0.5893	0.2499	0.6452	0.7222	0.0723	0.8088	32.8667	0.1034	2438.0000	347.0000	0.1423	2461.0000
21	0.6004	0.2499	0.6498	0.7300	0.0795	0.8257	32.8667	0.0924	2459.0000	342.0000	0.1391	2472.0000
22	0.5808	0.2499	0.6553	0.7201	0.0736	0.8108	33.1333	0.1006	2430.0000	356.0000	0.1465	2469.0000
23	0.5786	0.2499	0.6537	0.7401	0.0768	0.8041	33.3333	0.1113	2468.0000	353.0000	0.1430	2500.0000
24	0.5815	0.2499	0.6559	0.7389	0.0741	0.8150	33.2000	0.0980	2472.0000	350.0000	0.1416	2500.0000
25	0.5903	0.2499	0.6595	0.7245	0.0752	0.8090	32.8000	0.1020	2435.0000	351.0000	0.1441	2463.0000
26	0.6080	0.2499	0.6467	0.7341	0.0780	0.8155	33.4000	0.0998	2447.0000	340.0000	0.1389	2489.0000
27	0.5797	0.2499	0.6432	0.7355	0.0737	0.8081	33.0000	0.1055	2404.0000	355.0000	0.1477	2436.0000
28	0.5971	0.2499	0.6415	0.7418	0.0762	0.8179	33.2000	0.1006	2400.0000	339.0000	0.1412	2426.0000
29	0.5842	0.2499	0.6507	0.7419	0.0793	0.8202	33.0000	0.0977	2441.0000	346.0000	0.1417	2471.0000
30	0.5972	0.2499	0.6541	0.7326	0.0796	0.8145	33.0667	0.1001	2444.0000	345.0000	0.1412	2476.0000
31	0.5701	0.2499	0.6495	0.7349	0.0735	0.8080	32.4667	0.1044	2419.0000	348.0000	0.1439	2449.0000
32	0.5951	0.2499	0.6494	0.7351	0.0792	0.8155	33.0667	0.1023	2451.0000	350.0000	0.1428	2478.0000
33	0.5927	0.2499	0.6470	0.7333	0.0797	0.8148	33.0000	0.1009	2434.0000	343.0000	0.1409	2481.0000
34	0.5982	0.2499	0.6448	0.7199	0.0750	0.8102	33.0667	0.1026	2459.0000	356.0000	0.1448	2499.0000
35	0.6125	0.2499	0.6621	0.7509	0.0808	0.8219	33.2000	0.1002	2450.0000	340.0000	0.1388	2496.0000
36	0.5791	0.2499	0.6460	0.7472	0.0792	0.8145	32.9333	0.1004	2417.0000	349.0000	0.1444	2457.0000
37	0.5866	0.2499	0.6544	0.7323	0.0811	0.8119	32.8000	0.1049	2459.0000	365.0000	0.1484	2494.0000
38	0.5998	0.2499	0.6540	0.7389	0.0818	0.8179	32.8667	0.1007	2428.0000	352.0000	0.1450	2461.0000
39	0.5906	0.2499	0.6467	0.7311	0.0763	0.8102	33.0667	0.1024	2450.0000	348.0000	0.1420	2471.0000
40	0.5919	0.2499	0.6486	0.7289	0.0767	0.8121	32.8667	0.1013	2411.0000	350.0000	0.1452	2446.0000
41	0.5910	0.2499	0.6467	0.7139	0.0733	0.8109	33.4000	0.1008	2426.0000	357.0000	0.1472	2461.0000
42	0.5971	0.2499	0.6505	0.7451	0.0802	0.8195	32.9333	0.1028	2446.0000	347.0000	0.1419	2471.0000
43	0.5956	0.2499	0.6418	0.7504	0.0792	0.8238	33.1333	0.0929	2449.0000	337.0000	0.1376	2488.0000
44	0.5943	0.2499	0.6416	0.7281	0.0782	0.8119	32.8667	0.0990	2398.0000	358.0000	0.1493	2426.0000
45	0.5874	0.2499	0.6519	0.7310	0.0772	0.8157	33.2667	0.0977	2450.0000	349.0000	0.1424	2477.0000
46	0.5909	0.2499	0.6525	0.7257	0.0774	0.8160	32.8667	0.0987	2444.0000	350.0000	0.1432	2474.0000
47	0.5796	0.2499	0.6487	0.7259	0.0791	0.8053	33.0000	0.1040	2475.0000	352.0000	0.1422	2495.0000
48	0.5980	0.2499	0.6485	0.7594	0.0773	0.8194	33.0667	0.0976	2422.0000	339.0000	0.1400	2441.0000
49	0.5961	0.2499	0.6523	0.7371	0.0798	0.8171	33.4667	0.1031	2453.0000	356.0000	0.1451	2487.0000
50	0.5727	0.2499	0.6539	0.7317	0.0709	0.8068	33.4000	0.1023	2434.0000	360.0000	0.1479	2464.0000
51	0.5960	0.2499	0.6531	0.7292	0.0771	0.8185	32.6667	0.0962	2456.0000	345.0000	0.1405	2497.0000
52	0.5947	0.2499	0.6505	0.7292	0.0762	0.8106	32.7333	0.1048	2429.0000	355.0000	0.1462	2452.0000
53	0.6015	0.2499	0.6487	0.7317	0.0807	0.8171	32.7333	0.0991	2417.0000	335.0000	0.1386	2450.0000
54	0.5965	0.2499	0.6505	0.7369	0.0774	0.8153	32.5333	0.1009	2466.0000	354.0000	0.1436	2503.0000
55	0.5896	0.2499	0.6587	0.7315	0.0775	0.8141	33.0000	0.1014	2452.0000	353.0000	0.1440	2487.0000
56	0.5889	0.2499	0.6590	0.7236	0.0706	0.8095	32.8000	0.1016	2458.0000	346.0000	0.1408	2506.0000
