accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
51	0.5126	0.3182	0.3253	0.7882	0.0271	0.7111	32.2000	0.2091	612.0000	147.0000	0.2402	651.0000
52	0.5160	0.3177	0.3328	0.7831	0.0267	0.7079	33.5000	0.2158	595.0000	142.0000	0.2387	630.0000
53	0.4962	0.3172	0.3383	0.8064	0.0264	0.7417	33.5000	0.1945	668.0000	149.0000	0.2231	676.0000
54	0.5271	0.3177	0.3359	0.7644	0.0278	0.7340	32.5000	0.1875	625.0000	143.0000	0.2288	654.0000
55	0.5539	0.3172	0.3270	0.8019	0.0315	0.7406	33.4000	0.1909	606.0000	135.0000	0.2228	619.0000
56	0.5593	0.3192	0.3356	0.7851	0.0313	0.7600	32.6000	0.1689	675.0000	130.0000	0.1926	685.0000
57	0.5076	0.3182	0.3250	0.7897	0.0260	0.7140	33.7000	0.2110	636.0000	151.0000	0.2374	680.0000
58	0.4931	0.3172	0.3350	0.7770	0.0306	0.7029	32.9000	0.2295	688.0000	158.0000	0.2297	727.0000
59	0.5269	0.3177	0.3491	0.8035	0.0330	0.7593	32.6000	0.1699	630.0000	126.0000	0.2000	652.0000
60	0.4738	0.3187	0.3290	0.7752	0.0251	0.7015	33.7000	0.2503	616.0000	155.0000	0.2516	650.0000
61	0.5229	0.3187	0.3323	0.7843	0.0264	0.7416	32.7000	0.1757	597.0000	133.0000	0.2228	612.0000
62	0.5435	0.3187	0.3222	0.7738	0.0298	0.7416	33.1000	0.1905	651.0000	145.0000	0.2227	668.0000
63	0.5168	0.3187	0.3328	0.8001	0.0325	0.7356	33.4000	0.1955	701.0000	144.0000	0.2054	705.0000
64	0.5460	0.3182	0.3356	0.8001	0.0293	0.7312	33.7000	0.2026	631.0000	141.0000	0.2235	660.0000
65	0.5385	0.3182	0.3450	0.7658	0.0297	0.7606	33.0000	0.1777	659.0000	130.0000	0.1973	705.0000
66	0.5573	0.3182	0.3497	0.7922	0.0348	0.7356	32.4000	0.2047	646.0000	141.0000	0.2183	692.0000
67	0.5180	0.3182	0.3423	0.7859	0.0329	0.7405	32.9000	0.1971	661.0000	143.0000	0.2163	675.0000
68	0.5154	0.3172	0.3240	0.7802	0.0295	0.7187	32.4000	0.2068	641.0000	143.0000	0.2231	690.0000
69	0.5375	0.3172	0.3449	0.8131	0.0318	0.7223	33.6000	0.2053	603.0000	131.0000	0.2172	628.0000
