accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
840	0.8092	0.6197	0.3516	0.7466	0.1857	0.8880	17.1000	0.0757	844.0000	87.0000	0.1031	868.0000
841	0.8116	0.6193	0.3629	0.7321	0.1852	0.8846	17.1000	0.0787	864.0000	88.0000	0.1019	899.0000
842	0.8250	0.6193	0.3570	0.7311	0.1815	0.8974	17.1000	0.0777	818.0000	83.0000	0.1015	842.0000
843	0.8297	0.6189	0.3552	0.7344	0.1876	0.8919	17.0000	0.0727	828.0000	85.0000	0.1027	832.0000
844	0.8329	0.6090	0.3425	0.7406	0.1813	0.8909	16.9000	0.0664	830.0000	87.0000	0.1048	847.0000
845	0.8174	0.6152	0.3602	0.7656	0.1862	0.8946	17.0000	0.0758	842.0000	82.0000	0.0974	860.0000
846	0.8245	0.6131	0.3532	0.7618	0.1896	0.8979	17.1000	0.0564	822.0000	79.0000	0.0961	832.0000
847	0.8471	0.6127	0.3501	0.7497	0.1785	0.8926	17.0000	0.0734	804.0000	83.0000	0.1032	843.0000
848	0.8285	0.6152	0.3575	0.7342	0.1821	0.8966	17.0000	0.0725	849.0000	81.0000	0.0954	866.0000
849	0.8330	0.6168	0.3514	0.7265	0.1830	0.8885	17.0000	0.0644	908.0000	96.0000	0.1057	923.0000
850	0.8313	0.6193	0.3596	0.7542	0.1839	0.9014	17.0000	0.0618	878.0000	86.0000	0.0979	895.0000
851	0.8437	0.6102	0.3569	0.7413	0.1806	0.8902	17.0000	0.0785	815.0000	86.0000	0.1055	854.0000
852	0.8278	0.6106	0.3512	0.7114	0.1853	0.8849	17.2000	0.0760	853.0000	92.0000	0.1079	858.0000
853	0.8112	0.6073	0.3420	0.7367	0.1814	0.8808	17.1000	0.0836	830.0000	87.0000	0.1048	845.0000
854	0.8092	0.6110	0.3500	0.7481	0.1785	0.8918	17.1000	0.0780	791.0000	84.0000	0.1062	818.0000
855	0.8226	0.6164	0.3544	0.7277	0.1862	0.9036	16.9000	0.0763	881.0000	85.0000	0.0965	922.0000
856	0.8179	0.6127	0.3515	0.7573	0.1878	0.8966	17.0000	0.0724	863.0000	82.0000	0.0950	877.0000
857	0.8130	0.6077	0.3481	0.7316	0.1836	0.8868	17.0000	0.0698	842.0000	86.0000	0.1021	867.0000
858	0.8295	0.6131	0.3533	0.7431	0.1829	0.9000	16.9000	0.0728	839.0000	82.0000	0.0977	866.0000
859	0.8300	0.6242	0.3557	0.7245	0.1820	0.8856	17.0000	0.0820	886.0000	93.0000	0.1050	897.0000
860	0.8289	0.6193	0.3556	0.7222	0.1841	0.8846	17.0000	0.0739	882.0000	91.0000	0.1032	900.0000
861	0.8237	0.6082	0.3464	0.7341	0.1826	0.8899	17.1000	0.0742	855.0000	89.0000	0.1041	884.0000
862	0.8278	0.6123	0.3486	0.7275	0.1796	0.8965	16.9000	0.0687	840.0000	80.0000	0.0952	857.0000
863	0.8138	0.6086	0.3478	0.7311	0.1812	0.8857	17.0000	0.0895	817.0000	89.0000	0.1089	820.0000
864	0.8389	0.6123	0.3569	0.7623	0.1817	0.8897	16.9000	0.0741	906.0000	84.0000	0.0927	909.0000
865	0.8295	0.6185	0.3472	0.7419	0.1869	0.8941	17.0000	0.0581	884.0000	83.0000	0.0939	902.0000
866	0.8202	0.6040	0.3435	0.7626	0.1785	0.8857	17.0000	0.0720	830.0000	86.0000	0.1036	851.0000
867	0.8262	0.6168	0.3604	0.7105	0.1845	0.8849	17.1000	0.0721	860.0000	94.0000	0.1093	891.0000
868	0.8183	0.6279	0.3643	0.7089	0.1851	0.8896	17.1000	0.0777	861.0000	92.0000	0.1069	883.0000
869	0.8237	0.6197	0.3587	0.7387	0.1853	0.8906	17.0000	0.0676	898.0000	89.0000	0.0991	910.0000
870	0.8326	0.6143	0.3522	0.7188	0.1815	0.9003	17.1000	0.0793	817.0000	85.0000	0.1040	821.0000
871	0.8202	0.6077	0.3512	0.7233	0.1874	0.8906	17.0000	0.0628	855.0000	85.0000	0.0994	903.0000
872	0.8294	0.6094	0.3416	0.7200	0.1781	0.8834	17.0000	0.0754	855.0000	93.0000	0.1088	872.0000
873	0.8468	0.6189	0.3586	0.7394	0.1842	0.8950	16.8000	0.0649	883.0000	92.0000	0.1042	913.0000
874	0.8164	0.6218	0.3537	0.7123	0.1883	0.8880	17.1000	0.0704	848.0000	92.0000	0.1085	885.0000
