accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
841	0.8331	0.6090	0.3431	0.7647	0.0619	0.8889	17.0000	0.0700	840.0000	80.0000	0.0952	869.0000
842	0.8019	0.6135	0.3471	0.7579	0.0624	0.8824	16.9000	0.0753	867.0000	88.0000	0.1015	872.0000
843	0.8309	0.6123	0.3446	0.7626	0.0624	0.8826	17.0000	0.0698	859.0000	87.0000	0.1013	883.0000
844	0.8136	0.6148	0.3469	0.7415	0.0625	0.8656	17.0000	0.0873	861.0000	98.0000	0.1138	897.0000
845	0.7971	0.6172	0.3542	0.7442	0.0606	0.8781	17.1000	0.0954	853.0000	94.0000	0.1102	899.0000
846	0.8098	0.6098	0.3457	0.7730	0.0625	0.8609	17.0000	0.0756	817.0000	90.0000	0.1102	822.0000
847	0.8111	0.6098	0.3451	0.7388	0.0606	0.8694	17.0000	0.0740	849.0000	94.0000	0.1107	866.0000
848	0.8300	0.6185	0.3590	0.7557	0.0640	0.8813	17.0000	0.0681	869.0000	90.0000	0.1036	890.0000
849	0.8235	0.6164	0.3447	0.7561	0.0600	0.8821	16.9000	0.0739	865.0000	89.0000	0.1029	909.0000
850	0.8383	0.6123	0.3491	0.7751	0.0654	0.8890	17.0000	0.0771	793.0000	83.0000	0.1047	806.0000
851	0.8346	0.6094	0.3419	0.7871	0.0597	0.8702	17.1000	0.0719	833.0000	88.0000	0.1056	855.0000
852	0.8358	0.6139	0.3567	0.7331	0.0637	0.8989	16.8000	0.0661	836.0000	85.0000	0.1017	869.0000
853	0.8169	0.6255	0.3636	0.7596	0.0636	0.8870	17.0000	0.0732	850.0000	88.0000	0.1035	868.0000
854	0.8302	0.6016	0.3517	0.7638	0.0575	0.8915	17.1000	0.0652	878.0000	84.0000	0.0957	914.0000
855	0.8150	0.6143	0.3510	0.7339	0.0567	0.8642	17.1000	0.0848	876.0000	98.0000	0.1119	889.0000
856	0.8309	0.6106	0.3465	0.7671	0.0610	0.8828	17.0000	0.0707	794.0000	82.0000	0.1033	829.0000
857	0.8090	0.6218	0.3650	0.7760	0.0612	0.8805	17.0000	0.0589	908.0000	91.0000	0.1002	940.0000
858	0.8332	0.6255	0.3671	0.7611	0.0662	0.8886	16.9000	0.0821	847.0000	88.0000	0.1039	861.0000
859	0.8379	0.6185	0.3455	0.7420	0.0602	0.8863	17.2000	0.0727	847.0000	89.0000	0.1051	880.0000
860	0.8318	0.6119	0.3388	0.7886	0.0612	0.8937	16.9000	0.0797	784.0000	78.0000	0.0995	814.0000
861	0.8241	0.6180	0.3552	0.7741	0.0621	0.8833	17.2000	0.0708	881.0000	85.0000	0.0965	884.0000
862	0.7704	0.6106	0.3415	0.7348	0.0614	0.8495	17.1000	0.0804	839.0000	104.0000	0.1240	871.0000
863	0.8134	0.6213	0.3591	0.7417	0.0603	0.8659	17.0000	0.0674	943.0000	98.0000	0.1039	948.0000
864	0.8423	0.6073	0.3403	0.7752	0.0617	0.8949	17.0000	0.0704	832.0000	83.0000	0.0998	839.0000
865	0.8177	0.6148	0.3484	0.7730	0.0597	0.8848	17.2000	0.0824	844.0000	82.0000	0.0972	872.0000
866	0.8288	0.6209	0.3508	0.7470	0.0619	0.8940	17.1000	0.0667	882.0000	86.0000	0.0975	900.0000
867	0.8250	0.6172	0.3541	0.7794	0.0673	0.8792	17.1000	0.0798	829.0000	90.0000	0.1086	835.0000
868	0.8338	0.6197	0.3609	0.7541	0.0598	0.8761	17.0000	0.0615	871.0000	94.0000	0.1079	903.0000
869	0.8324	0.6197	0.3572	0.7836	0.0633	0.8868	17.2000	0.0698	815.0000	88.0000	0.1080	849.0000
870	0.8037	0.6077	0.3468	0.7591	0.0598	0.8546	17.1000	0.0810	815.0000	90.0000	0.1104	840.0000
871	0.8063	0.6139	0.3454	0.7824	0.0623	0.8767	17.0000	0.0765	830.0000	78.0000	0.0940	857.0000
