run	doculect	accuracy	purity	words	sounds
1	Shanghai	0.6235526315789474	0.8203626104116241	173	43
1	Nanjing	0.6354283054003725	0.8209240607471531	187	36
1	Wenzhou	0.5829639889196676	0.8079290863198689	186	40
1	Taoyuan	0.6436868686868689	0.7929934795155174	150	27
1	Suzhou	0.6173173173173171	0.8217007461402258	165	41
1	Taibei	0.6404220779220784	0.8212504751828706	173	27
1	Changsha	0.6482789855072465	0.8260159314310951	189	33
1	Beijing	0.6502192982456143	0.8195624562664717	173	33
1	Fuzhou	0.6165289256198346	0.8233893236387996	193	29
1	Meixian	0.6691203703703703	0.8117864682052791	189	25
1	Guangzhou	0.6091485507246379	0.8218230131426922	187	30
1	Nanchang	0.6219322344322346	0.8054538760128624	169	32
1	Jinan	0.6447888589398024	0.83027877765496	185	36
1	Xiamen	0.6669819819819823	0.8212086610915524	183	26
2	Shanghai	0.6343665768194069	0.8370386318222535	184	43
2	Nanjing	0.6426273458445041	0.8345079695062066	174	35
2	Wenzhou	0.5846581196581196	0.8146990561773118	165	39
2	Taoyuan	0.6535598705501617	0.8175830603509919	166	27
2	Suzhou	0.6322854291417166	0.813688487402074	158	40
2	Taibei	0.5755801687763711	0.7953640894907192	168	27
2	Changsha	0.6430817610062893	0.8195734547833036	187	34
2	Beijing	0.6413547237076652	0.8168408621653694	180	33
2	Fuzhou	0.6078779599271406	0.8195691537383278	192	29
2	Meixian	0.6709355131698458	0.828072578023799	189	26
2	Guangzhou	0.6027486910994766	0.8144679998792616	178	30
2	Nanchang	0.6517647058823532	0.8331876343095928	192	32
2	Jinan	0.6168384879725087	0.8264311829169513	169	35
2	Xiamen	0.665384615384616	0.8233048297931382	192	25
3	Shanghai	0.6456140350877194	0.8237802156674588	195	43
3	Nanjing	0.6461050724637686	0.8267655075374438	180	34
3	Wenzhou	0.6265363128491624	0.8237127856049528	194	40
3	Taoyuan	0.6432702418506835	0.8169891142219807	163	28
3	Suzhou	0.6453352769679298	0.7943998824073831	150	40
3	Taibei	0.6157492354740064	0.8079447417592253	159	27
3	Changsha	0.6450797872340422	0.8200206678117989	187	34
3	Beijing	0.653499562554681	0.8238583267678204	177	33
3	Fuzhou	0.587926509186352	0.8176014027736804	180	30
3	Meixian	0.6748655913978501	0.8196407983894334	183	26
3	Guangzhou	0.6316228070175445	0.8180768490807973	183	31
3	Nanchang	0.6466572504708101	0.8119756662157412	180	34
3	Jinan	0.6296768707482998	0.8051140288521162	172	36
3	Xiamen	0.6723413762287761	0.823964762867721	184	25
4	Shanghai	0.622192513368984	0.8338231386099592	184	44
4	Nanjing	0.698637602179837	0.8464107594072088	181	33
4	Wenzhou	0.5915384615384615	0.8146367180180764	167	39
4	Taoyuan	0.6600000000000003	0.8145269180844009	159	27
4	Suzhou	0.6340811965811967	0.8248761260933779	187	40
4	Taibei	0.6090769230769235	0.8040728843833281	160	29
4	Changsha	0.6114853195164079	0.8134667817584178	173	34
4	Beijing	0.6562500000000004	0.832671531835169	181	33
4	Fuzhou	0.6242173112338864	0.8358129424453279	196	30
4	Meixian	0.6978723404255323	0.8269604380878893	179	25
4	Guangzhou	0.6516042780748668	0.8181368535677578	184	31
4	Nanchang	0.6525570776255709	0.8172617630243467	172	33
4	Jinan	0.665066666666667	0.8321313662551357	185	36
4	Xiamen	0.6836512261580386	0.8210343881923278	189	26
5	Shanghai	0.636730072463768	0.8362991461179625	182	42
5	Nanjing	0.6580056179775282	0.8363166509407368	186	35
5	Wenzhou	0.5834256694367497	0.8192344922153737	184	40
5	Taoyuan	0.6313376483279397	0.8216680972080315	170	27
5	Suzhou	0.6457584830339322	0.814910095124499	156	42
5	Taibei	0.6151702786377709	0.8121002636600562	156	28
5	Changsha	0.6558108108108108	0.8389038601343136	180	35
5	Beijing	0.6712243074173373	0.8374707328155809	179	33
5	Fuzhou	0.6170231729055259	0.8408484455700631	179	29
5	Meixian	0.6703262786596125	0.8066867110150534	172	25
5	Guangzhou	0.63918918918919	0.8298706686939583	183	30
5	Nanchang	0.6447604790419164	0.8209190844928521	194	34
5	Jinan	0.6513425925925929	0.8329962015277665	196	36
5	Xiamen	0.6624551971326167	0.8272690920664827	175	26
6	Shanghai	0.638550323176362	0.8191750314329095	184	42
6	Nanjing	0.6581244196843083	0.8340249573949671	167	35
6	Wenzhou	0.5859044995408637	0.824397993002243	169	40
6	Taoyuan	0.6497842502696873	0.8106677811681849	152	28
6	Suzhou	0.6275193798449616	0.8197123843035925	175	40
6	Taibei	0.5830065359477131	0.8135517230554873	159	29
6	Changsha	0.6738028169014088	0.8379232631764372	191	35
6	Beijing	0.6656580211335259	0.8223016239086053	191	33
6	Fuzhou	0.6089595375722545	0.8322615037270649	201	30
6	Meixian	0.6722991689750699	0.8075839236011714	178	26
6	Guangzhou	0.5966666666666671	0.8170949852325182	177	30
6	Nanchang	0.6546078431372552	0.8303855681197744	176	34
6	Jinan	0.636072423398329	0.8216635447164006	184	36
6	Xiamen	0.6888425925925928	0.8228965426907694	178	25
7	Shanghai	0.6358695652173914	0.8286863606361785	179	43
7	Nanjing	0.6209893048128345	0.8029141382908266	167	33
7	Wenzhou	0.5823999999999999	0.8096011850455607	173	41
7	Taoyuan	0.6525484199796124	0.8179889659814668	149	27
7	Suzhou	0.6226013847675571	0.7873415451453284	157	38
7	Taibei	0.5943037974683546	0.8071371121012179	161	28
7	Changsha	0.6547413793103453	0.8295745799609247	207	34
7	Beijing	0.6601237842617158	0.8059920898231483	171	33
7	Fuzhou	0.611817325800377	0.8219344338696026	197	29
7	Meixian	0.6883285302593664	0.8309300756369297	200	26
7	Guangzhou	0.6413597733711052	0.8309718424235786	197	32
7	Nanchang	0.6353693181818186	0.8004114089518014	170	34
7	Jinan	0.633517495395949	0.8183530278678832	191	36
7	Xiamen	0.669481680071493	0.8146799688536759	172	25
8	Shanghai	0.6116573033707865	0.8063918091960538	192	43
8	Nanjing	0.6574858757062148	0.8310706749638129	183	34
8	Wenzhou	0.6080443159922929	0.8303628847089433	196	39
8	Taoyuan	0.6237060041407869	0.7921914798437383	153	27
8	Suzhou	0.5978606965174127	0.7932200383957871	153	43
8	Taibei	0.6064356435643569	0.8268841141136388	171	26
8	Changsha	0.6376151012891346	0.8294902622396001	189	34
8	Beijing	0.6494579945799464	0.829599280673487	180	33
8	Fuzhou	0.6206036745406827	0.8252321650798747	170	29
8	Meixian	0.6582427536231884	0.8138755827012036	176	25
8	Guangzhou	0.6302906448683021	0.8301534714692096	182	31
8	Nanchang	0.6623606889564343	0.8209930932944706	197	33
8	Jinan	0.6304421768707484	0.8194307440042365	155	35
8	Xiamen	0.6882216014897589	0.8355103431080418	189	26
9	Shanghai	0.6488000000000004	0.8235143538837819	176	42
9	Nanjing	0.6627885503231767	0.822111683842918	185	34
9	Wenzhou	0.6150537634408606	0.8067401948598566	177	40
9	Taoyuan	0.6510449320794152	0.8173565425541083	159	27
9	Suzhou	0.6551401869158879	0.8146696870805099	176	42
9	Taibei	0.6191337719298246	0.8242847988662579	177	29
9	Changsha	0.6522649572649577	0.8078029593159183	167	34
9	Beijing	0.625413402959095	0.8068400119703559	170	33
9	Fuzhou	0.6439189189189192	0.8446870751504454	184	30
9	Meixian	0.6765625000000004	0.8232580402570145	198	26
9	Guangzhou	0.6264035087719301	0.8222590327194105	177	30
9	Nanchang	0.6805635148042027	0.8198956578865183	180	34
9	Jinan	0.6937271062271064	0.8478739827994487	192	35
9	Xiamen	0.6933783783783789	0.8265254460630899	178	25
10	Shanghai	0.6369281045751636	0.8178047591137725	194	42
10	Nanjing	0.6385941644562333	0.8180618360748007	169	35
10	Wenzhou	0.5995856353591162	0.8242489847218821	194	40
10	Taoyuan	0.6470899470899472	0.8193413462997021	164	27
10	Suzhou	0.6416135881104035	0.8269065325102518	182	41
10	Taibei	0.6059855521155837	0.8111787897127932	161	29
10	Changsha	0.6701044386422981	0.8318454631756107	176	33
10	Beijing	0.6626126126126128	0.8184008912623129	182	33
10	Fuzhou	0.6294871794871794	0.8321720911235158	185	30
10	Meixian	0.6726190476190481	0.8136985439347076	171	26
10	Guangzhou	0.6377748460861915	0.835427577683728	179	30
10	Nanchang	0.6581904761904764	0.8251587639790575	183	33
10	Jinan	0.6400913242009133	0.8147730251478819	194	36
10	Xiamen	0.686666666666667	0.8282670726511057	176	26
11	Shanghai	0.6361408199643497	0.82103609493201	179	43
11	Nanjing	0.6514532243415078	0.8199718314547247	184	34
11	Wenzhou	0.6110526315789474	0.8106311387816484	174	40
11	Taoyuan	0.6327956989247314	0.7986176284680905	168	28
11	Suzhou	0.6493034825870646	0.8029454927357653	169	40
11	Taibei	0.609841740850643	0.7996768760794295	144	29
11	Changsha	0.6757326007326006	0.8303097027301117	201	34
11	Beijing	0.6456657730116179	0.8082466451596367	183	33
11	Fuzhou	0.5941792294807374	0.8048523647056579	161	29
11	Meixian	0.6771906052393863	0.8182574961438047	187	26
11	Guangzhou	0.6391690009337077	0.8191237588313052	201	32
11	Nanchang	0.6440147329650094	0.8015085626645175	174	33
11	Jinan	0.6601902173913047	0.8245449995088575	191	36
11	Xiamen	0.6831491712707187	0.8230806091398053	193	25
12	Shanghai	0.6137640449438202	0.8133247630733627	196	42
12	Nanjing	0.6527089072543621	0.8109949820303392	178	35
12	Wenzhou	0.6006849315068493	0.8228717480832668	186	40
12	Taoyuan	0.6371754932502597	0.8026601421387672	162	27
12	Suzhou	0.6372463768115942	0.8044287626518266	151	41
12	Taibei	0.5989263803680985	0.8158142251295023	154	28
12	Changsha	0.672723132969035	0.8306459370393174	192	33
12	Beijing	0.6625946969696973	0.8285341208044752	200	33
12	Fuzhou	0.6186327077747988	0.8361196915101567	180	29
12	Meixian	0.7094632768361591	0.8359089286311653	193	25
12	Guangzhou	0.6531250000000007	0.8177567243929912	170	30
12	Nanchang	0.6559653916211295	0.8172923153104694	163	32
12	Jinan	0.6395264116575593	0.8285361036862267	192	35
12	Xiamen	0.7027403414195871	0.828081780773072	179	26
13	Shanghai	0.6323584029712168	0.8240813770955658	195	43
13	Nanjing	0.6746296296296295	0.8436033882784446	186	34
13	Wenzhou	0.5861661945231355	0.8087002064967598	193	40
13	Taoyuan	0.6217280163599187	0.8066920761402029	156	27
13	Suzhou	0.6492088607594937	0.8162098907244894	176	40
13	Taibei	0.616039707419018	0.8127140796907348	157	27
