accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.7029	0.5308	0.8404	2.5908	0.2841	0.8256	33.4286	0.1130	6.2358	665.0000	0.2399	2774.0000	0.9353	3915.0000	4186.0000	0.9499	0.8836
2	0.7147	0.5348	0.8415	2.5834	0.2812	0.8220	33.5000	0.1167	6.2562	677.0000	0.2420	2799.0000	0.9276	3883.0000	4186.0000	0.9396	0.8812
3	0.7006	0.5337	0.8444	2.5629	0.2832	0.8209	33.4286	0.1172	6.2982	668.0000	0.2387	2800.0000	0.9324	3903.0000	4186.0000	0.9507	0.8852
4	0.6972	0.5342	0.8419	2.5286	0.2806	0.8137	33.4286	0.1254	6.3536	698.0000	0.2512	2781.0000	0.9228	3863.0000	4186.0000	0.9446	0.8836
5	0.7140	0.5316	0.8426	2.6081	0.2816	0.8229	33.1429	0.1130	6.2487	665.0000	0.2386	2789.0000	0.9367	3921.0000	4186.0000	0.9459	0.8785
6	0.7078	0.5321	0.8402	2.5539	0.2779	0.8285	33.2857	0.1073	6.2576	661.0000	0.2368	2793.0000	0.9329	3905.0000	4186.0000	0.9488	0.8823
7	0.6957	0.5333	0.8401	2.5794	0.2911	0.8185	33.4286	0.1194	6.2826	675.0000	0.2428	2782.0000	0.9274	3882.0000	4186.0000	0.9457	0.8843
8	0.7035	0.5335	0.8412	2.4914	0.2816	0.8216	33.5000	0.1170	6.2995	669.0000	0.2408	2780.0000	0.9300	3893.0000	4186.0000	0.9453	0.8864
9	0.7004	0.5314	0.8410	2.5817	0.2862	0.8233	33.5714	0.1138	6.2266	658.0000	0.2364	2785.0000	0.9372	3923.0000	4186.0000	0.9490	0.8819
10	0.7023	0.5320	0.8399	2.5717	0.2830	0.8160	33.2857	0.1229	6.2585	680.0000	0.2441	2788.0000	0.9305	3895.0000	4186.0000	0.9437	0.8872
11	0.7064	0.5285	0.8405	2.6180	0.2799	0.8185	33.2143	0.1162	6.1943	679.0000	0.2437	2788.0000	0.9429	3947.0000	4186.0000	0.9466	0.8828
12	0.7134	0.5304	0.8402	2.6017	0.2801	0.8255	33.5714	0.1087	6.1715	664.0000	0.2384	2787.0000	0.9391	3931.0000	4186.0000	0.9483	0.8847
13	0.7047	0.5341	0.8430	2.5427	0.2790	0.8283	33.0000	0.1110	6.3131	673.0000	0.2419	2784.0000	0.9271	3881.0000	4186.0000	0.9450	0.8851
