accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
37	0.5398	0.5734	0.3471	2.0934	0.0719	0.7605	35.6250	0.1534	3.1316	165.0000	0.2191	760.0000	0.5215	509.0000	976.0000	0.9421	0.8148
38	0.5276	0.5811	0.3631	2.2175	0.0788	0.7605	36.1250	0.1429	3.5034	173.0000	0.2373	731.0000	0.4457	435.0000	976.0000	0.9371	0.8193
39	0.5568	0.5717	0.3583	2.0356	0.0881	0.7744	35.6250	0.1475	3.3070	162.0000	0.2151	758.0000	0.4805	469.0000	976.0000	0.9380	0.8176
40	0.5499	0.5800	0.3708	2.0556	0.0788	0.7731	35.3750	0.1366	3.2816	163.0000	0.2168	756.0000	0.4621	451.0000	976.0000	0.9524	0.8346
41	0.5367	0.5816	0.3633	2.1854	0.0761	0.7549	35.7500	0.1597	3.4437	170.0000	0.2270	755.0000	0.4734	462.0000	976.0000	0.9430	0.8109
42	0.5346	0.5717	0.3586	2.1975	0.0750	0.7650	35.5000	0.1597	3.3830	163.0000	0.2277	719.0000	0.4467	436.0000	976.0000	0.9277	0.8321
43	0.5021	0.5728	0.3561	2.0887	0.0811	0.7629	35.1250	0.1702	3.3877	157.0000	0.2218	710.0000	0.4652	454.0000	976.0000	0.9423	0.8244
44	0.5536	0.5783	0.3538	2.0718	0.0783	0.7645	35.8750	0.1367	3.3626	166.0000	0.2309	724.0000	0.4549	444.0000	976.0000	0.9434	0.8308
45	0.5267	0.5646	0.3476	2.2116	0.0744	0.7537	35.8750	0.1768	3.2873	167.0000	0.2386	704.0000	0.4600	449.0000	976.0000	0.9290	0.8245
46	0.5176	0.5761	0.3593	2.2144	0.0761	0.7483	35.1250	0.1527	3.2759	165.0000	0.2254	737.0000	0.4754	464.0000	976.0000	0.9471	0.8254
47	0.5091	0.5745	0.3636	2.1604	0.0866	0.7737	35.3750	0.1491	3.3121	171.0000	0.2218	773.0000	0.4826	471.0000	976.0000	0.9366	0.7984
48	0.5285	0.5921	0.3737	2.1929	0.0749	0.7393	35.5000	0.1607	3.5087	180.0000	0.2476	731.0000	0.4713	460.0000	976.0000	0.9371	0.8222
49	0.5666	0.5607	0.3434	2.1650	0.0805	0.7631	35.8750	0.1431	3.1748	160.0000	0.2250	715.0000	0.4631	452.0000	976.0000	0.9329	0.8288
50	0.5298	0.5717	0.3514	2.1438	0.0716	0.7524	35.5000	0.1582	3.3374	172.0000	0.2343	737.0000	0.4980	486.0000	976.0000	0.9267	0.8105
51	0.5315	0.5789	0.3646	2.1514	0.0720	0.7664	35.5000	0.1399	3.2378	159.0000	0.2126	753.0000	0.5041	492.0000	976.0000	0.9522	0.8257
52	0.5866	0.5778	0.3641	2.0380	0.0871	0.7842	34.7500	0.1363	3.5068	159.0000	0.2169	737.0000	0.4488	438.0000	976.0000	0.9362	0.8137
53	0.5137	0.5822	0.3621	2.1027	0.0775	0.7547	35.6250	0.1819	3.3524	173.0000	0.2376	730.0000	0.4652	454.0000	976.0000	0.9274	0.8249
54	0.5437	0.5761	0.3534	2.1941	0.0822	0.7597	35.7500	0.1621	3.4348	163.0000	0.2293	716.0000	0.4477	437.0000	976.0000	0.9455	0.8181
55	0.5302	0.5750	0.3551	2.3196	0.0751	0.7538	35.1250	0.1479	3.3113	173.0000	0.2319	751.0000	0.4969	485.0000	976.0000	0.9348	0.8111
56	0.5383	0.5629	0.3532	2.1045	0.0814	0.7529	35.3750	0.1736	3.2456	164.0000	0.2330	708.0000	0.4631	452.0000	976.0000	0.9379	0.8240
57	0.5208	0.5866	0.3645	2.2403	0.0826	0.7633	35.2500	0.1672	3.3546	171.0000	0.2372	724.0000	0.4969	485.0000	976.0000	0.9254	0.8299
58	0.5134	0.5756	0.3587	2.2999	0.0749	0.7654	35.3750	0.1403	3.1022	165.0000	0.2102	787.0000	0.5215	509.0000	976.0000	0.9441	0.8040
59	0.5475	0.5728	0.3471	2.1732	0.0794	0.7646	35.2500	0.1514	3.3571	163.0000	0.2309	710.0000	0.4590	448.0000	976.0000	0.9423	0.8248
60	0.5409	0.5756	0.3573	2.0738	0.0763	0.7604	35.5000	0.1547	3.2725	170.0000	0.2335	732.0000	0.4775	466.0000	976.0000	0.9194	0.8199
61	0.5056	0.5761	0.3596	2.1584	0.0767	0.7666	35.5000	0.1460	3.1423	165.0000	0.2165	770.0000	0.5113	499.0000	976.0000	0.9377	0.8189
62	0.5178	0.5772	0.3574	2.0915	0.0736	0.7452	35.2500	0.1676	3.1454	172.0000	0.2194	787.0000	0.5143	502.0000	976.0000	0.9339	0.7959
63	0.5702	0.5723	0.3467	2.1476	0.0700	0.7504	35.6250	0.1433	3.3953	174.0000	0.2504	698.0000	0.4406	430.0000	976.0000	0.9312	0.8242
64	0.5494	0.5657	0.3540	2.1139	0.0783	0.7702	35.1250	0.1472	3.2969	161.0000	0.2164	746.0000	0.4693	458.0000	976.0000	0.9437	0.8137
65	0.5589	0.5734	0.3581	2.0915	0.0768	0.7741	35.5000	0.1652	3.3606	159.0000	0.2252	710.0000	0.4887	477.0000	976.0000	0.9437	0.8285
66	0.5087	0.5860	0.3638	2.1403	0.0749	0.7700	35.1250	0.1420	3.4935	157.0000	0.2193	720.0000	0.4734	462.0000	976.0000	0.9556	0.8167
67	0.5601	0.5789	0.3656	2.1978	0.0752	0.7590	35.7500	0.1443	3.4652	170.0000	0.2322	738.0000	0.4713	460.0000	976.0000	0.9363	0.8071
68	0.5226	0.5717	0.3573	2.1282	0.0761	0.7552	35.5000	0.1345	3.3018	163.0000	0.2209	741.0000	0.5092	497.0000	976.0000	0.9433	0.8168
69	0.5028	0.5668	0.3493	2.2260	0.0707	0.7658	35.7500	0.1590	3.2480	159.0000	0.2166	739.0000	0.5082	496.0000	976.0000	0.9459	0.8088
70	0.4859	0.5783	0.3580	2.1847	0.0841	0.7472	35.1250	0.1826	3.3660	172.0000	0.2309	747.0000	0.4816	470.0000	976.0000	0.9384	0.8253
71	0.5255	0.5805	0.3613	2.1060	0.0725	0.7644	35.0000	0.1594	3.3906	161.0000	0.2261	717.0000	0.4775	466.0000	976.0000	0.9470	0.8259
72	0.5184	0.5816	0.3531	2.0225	0.0753	0.7729	35.5000	0.1431	3.4135	162.0000	0.2288	711.0000	0.4857	474.0000	976.0000	0.9395	0.8246
73	0.5414	0.5723	0.3541	2.1145	0.0741	0.7545	35.8750	0.1628	3.3679	171.0000	0.2286	751.0000	0.4846	473.0000	976.0000	0.9387	0.8105
74	0.5280	0.5794	0.3602	2.1637	0.0768	0.7553	35.3750	0.1386	3.4693	161.0000	0.2230	727.0000	0.4672	456.0000	976.0000	0.9450	0.8077
