accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
36	0.6203	0.5453	0.5838	2.7668	0.0790	0.7679	36.0000	0.1445	4.0153	256.0000	0.2270	1132.0000	0.8737	782.0000	895.0000	0.9382	0.8173
37	0.6137	0.5468	0.5870	3.1029	0.0979	0.7709	36.2000	0.1558	4.0988	260.0000	0.2357	1108.0000	0.8369	749.0000	895.0000	0.9197	0.8129
38	0.6392	0.5463	0.5826	2.9251	0.0892	0.7564	36.3000	0.1451	4.0158	269.0000	0.2408	1121.0000	0.8492	760.0000	895.0000	0.9215	0.8175
39	0.6000	0.5453	0.5833	3.1546	0.1013	0.7566	35.9000	0.1574	4.0482	269.0000	0.2339	1158.0000	0.8581	768.0000	895.0000	0.9292	0.8071
40	0.6235	0.5448	0.5786	3.1377	0.0956	0.7663	35.1000	0.1397	3.9109	255.0000	0.2223	1155.0000	0.8525	763.0000	895.0000	0.9290	0.8061
41	0.6146	0.5438	0.5794	3.0856	0.0891	0.7708	35.1000	0.1503	4.1918	251.0000	0.2286	1102.0000	0.8156	730.0000	895.0000	0.9428	0.8146
42	0.6248	0.5458	0.5777	3.1247	0.0883	0.7566	35.1000	0.1420	4.0454	264.0000	0.2334	1135.0000	0.8369	749.0000	895.0000	0.9313	0.8077
43	0.6343	0.5453	0.5871	3.0297	0.0957	0.7774	35.7000	0.1394	4.0387	259.0000	0.2202	1179.0000	0.8659	775.0000	895.0000	0.9338	0.8112
44	0.6317	0.5448	0.5862	3.1257	0.0934	0.7728	35.8000	0.1350	3.9475	257.0000	0.2136	1209.0000	0.8726	781.0000	895.0000	0.9396	0.8003
45	0.6059	0.5463	0.5804	2.7616	0.0899	0.7494	36.6000	0.1587	4.0810	265.0000	0.2318	1145.0000	0.8279	741.0000	895.0000	0.9406	0.8220
46	0.6108	0.5458	0.5840	3.0235	0.0996	0.7647	36.8000	0.1501	3.9604	261.0000	0.2289	1150.0000	0.8749	783.0000	895.0000	0.9348	0.8047
47	0.6206	0.5453	0.5750	2.9343	0.0899	0.7673	36.0000	0.1265	3.9261	255.0000	0.2219	1157.0000	0.8469	758.0000	895.0000	0.9404	0.8060
48	0.6035	0.5468	0.5857	3.1457	0.0919	0.7521	36.1000	0.1491	4.0684	271.0000	0.2334	1164.0000	0.8335	746.0000	895.0000	0.9296	0.8054
49	0.6271	0.5453	0.5875	2.9512	0.0932	0.7578	36.2000	0.1501	4.1320	272.0000	0.2418	1127.0000	0.8380	750.0000	895.0000	0.9272	0.8143
50	0.6257	0.5468	0.5861	3.0799	0.0993	0.7711	36.0000	0.1455	3.9922	256.0000	0.2259	1139.0000	0.8592	769.0000	895.0000	0.9403	0.8137
51	0.6270	0.5433	0.5750	2.8677	0.0948	0.7607	36.3000	0.1653	4.0384	260.0000	0.2303	1134.0000	0.8436	755.0000	895.0000	0.9277	0.8183
52	0.6141	0.5458	0.5801	2.9159	0.0927	0.7519	35.7000	0.1625	4.0958	268.0000	0.2370	1134.0000	0.8279	741.0000	895.0000	0.9347	0.8182
53	0.6304	0.5448	0.5822	2.8989	0.0906	0.7690	35.6000	0.1397	4.1943	263.0000	0.2338	1128.0000	0.8223	736.0000	895.0000	0.9371	0.8129
54	0.5940	0.5453	0.5784	2.8439	0.0914	0.7642	35.9000	0.1341	3.9528	264.0000	0.2256	1172.0000	0.8279	741.0000	895.0000	0.9428	0.8122
55	0.6108	0.5453	0.5849	2.8268	0.0948	0.7540	37.0000	0.1395	4.0670	261.0000	0.2291	1143.0000	0.8335	746.0000	895.0000	0.9291	0.8077
56	0.5985	0.5458	0.5758	3.0036	0.0921	0.7584	36.5000	0.1664	4.1709	277.0000	0.2507	1109.0000	0.7911	708.0000	895.0000	0.9216	0.8303
57	0.6163	0.5463	0.5874	3.2392	0.0954	0.7565	36.5000	0.1532	4.0820	264.0000	0.2381	1112.0000	0.8447	756.0000	895.0000	0.9200	0.8064
58	0.6236	0.5468	0.5811	2.9700	0.1017	0.7520	35.9000	0.1824	4.1446	261.0000	0.2386	1099.0000	0.8112	726.0000	895.0000	0.9181	0.8066
59	0.6108	0.5463	0.5778	3.1562	0.0907	0.7649	37.0000	0.1499	4.0682	264.0000	0.2404	1101.0000	0.8358	748.0000	895.0000	0.9255	0.8142
60	0.6345	0.5463	0.5826	3.0824	0.1025	0.7616	36.1000	0.1538	4.0831	262.0000	0.2346	1121.0000	0.8469	758.0000	895.0000	0.9224	0.8097
61	0.6338	0.5468	0.5862	3.2201	0.1027	0.7780	35.8000	0.1455	4.0676	253.0000	0.2259	1127.0000	0.8425	754.0000	895.0000	0.9326	0.8157
62	0.6303	0.5468	0.5808	3.2679	0.0866	0.7583	36.1000	0.1384	4.0509	266.0000	0.2358	1131.0000	0.8346	747.0000	895.0000	0.9328	0.8118
63	0.6212	0.5458	0.5765	3.2281	0.0966	0.7545	35.9000	0.1634	4.1092	273.0000	0.2395	1144.0000	0.8291	742.0000	895.0000	0.9205	0.8092
64	0.6265	0.5468	0.5906	2.8267	0.0997	0.7581	36.1000	0.1426	4.0617	276.0000	0.2331	1189.0000	0.8514	762.0000	895.0000	0.9327	0.8154
65	0.6203	0.5453	0.5852	3.1330	0.0909	0.7512	36.5000	0.1686	4.1294	279.0000	0.2500	1120.0000	0.8201	734.0000	895.0000	0.9304	0.8224
66	0.6410	0.5448	0.5798	3.1815	0.1014	0.7694	36.0000	0.1316	3.9920	273.0000	0.2341	1168.0000	0.8335	746.0000	895.0000	0.9272	0.8049
67	0.6350	0.5443	0.5796	2.9854	0.1061	0.7736	36.3000	0.1512	4.0812	256.0000	0.2209	1162.0000	0.8391	751.0000	895.0000	0.9380	0.8106
68	0.6181	0.5453	0.5820	2.8969	0.0982	0.7804	35.6000	0.1196	3.9791	262.0000	0.2274	1154.0000	0.8570	767.0000	895.0000	0.9411	0.8133
69	0.6289	0.5468	0.5882	2.9861	0.0921	0.7612	36.6000	0.1599	4.1148	268.0000	0.2334	1152.0000	0.8659	775.0000	895.0000	0.9375	0.8203
70	0.6158	0.5443	0.5737	3.2749	0.0873	0.7556	35.6000	0.1643	4.2061	265.0000	0.2519	1055.0000	0.8022	718.0000	895.0000	0.9223	0.8262
71	0.5933	0.5448	0.5855	3.1655	0.0944	0.7661	37.1000	0.1535	4.0598	267.0000	0.2318	1154.0000	0.8402	752.0000	895.0000	0.9324	0.8153
72	0.6217	0.5468	0.5856	2.9840	0.0984	0.7676	36.5000	0.1408	4.0326	258.0000	0.2302	1126.0000	0.8559	766.0000	895.0000	0.9307	0.8215
73	0.6147	0.5468	0.5893	3.0684	0.0890	0.7623	35.5000	0.1516	4.0366	254.0000	0.2286	1115.0000	0.8559	766.0000	895.0000	0.9381	0.8118
74	0.6137	0.5458	0.5856	3.0451	0.0987	0.7424	36.4000	0.1680	4.1099	265.0000	0.2269	1175.0000	0.8536	764.0000	895.0000	0.9311	0.8075
75	0.6368	0.5463	0.5864	2.9761	0.1028	0.7741	36.1000	0.1301	4.0065	260.0000	0.2228	1171.0000	0.8559	766.0000	895.0000	0.9360	0.8068
76	0.6291	0.5433	0.5788	3.2883	0.0920	0.7629	35.8000	0.1556	4.0339	266.0000	0.2287	1169.0000	0.8559	766.0000	895.0000	0.9358	0.7996
77	0.6184	0.5468	0.5882	3.1432	0.0912	0.7645	35.7000	0.1428	4.0156	264.0000	0.2217	1194.0000	0.8615	771.0000	895.0000	0.9389	0.7909
78	0.6312	0.5463	0.5832	2.9819	0.1024	0.7723	36.6000	0.1481	3.9781	265.0000	0.2275	1167.0000	0.8670	776.0000	895.0000	0.9340	0.8099
79	0.6312	0.5473	0.5890	2.9126	0.0951	0.7721	35.7000	0.1301	4.0544	254.0000	0.2197	1160.0000	0.8425	754.0000	895.0000	0.9371	0.8180
80	0.6445	0.5453	0.5801	3.0946	0.0980	0.7744	36.3000	0.1379	4.0040	253.0000	0.2213	1146.0000	0.8335	746.0000	895.0000	0.9407	0.8103
81	0.6360	0.5453	0.5779	3.3439	0.0975	0.7738	35.6000	0.1489	3.9922	260.0000	0.2226	1172.0000	0.8626	772.0000	895.0000	0.9360	0.7936
82	0.6094	0.5468	0.5891	2.8307	0.1027	0.7813	35.6000	0.1439	4.0457	247.0000	0.2122	1181.0000	0.8559	766.0000	895.0000	0.9416	0.7987
83	0.6055	0.5473	0.5887	3.3623	0.0949	0.7498	36.5000	0.1486	3.9818	279.0000	0.2385	1173.0000	0.8615	771.0000	895.0000	0.9199	0.7976
84	0.6087	0.5463	0.5720	3.1609	0.0925	0.7522	36.3000	0.1568	4.0202	264.0000	0.2393	1106.0000	0.8291	742.0000	895.0000	0.9259	0.8206
85	0.6054	0.5448	0.5832	3.1290	0.0984	0.7703	35.6000	0.1495	4.0000	261.0000	0.2221	1178.0000	0.8715	780.0000	895.0000	0.9406	0.7972
86	0.6082	0.5448	0.5879	3.1317	0.0987	0.7766	36.8000	0.1298	4.0685	255.0000	0.2249	1139.0000	0.8480	759.0000	895.0000	0.9298	0.8162
87	0.6308	0.5438	0.5823	3.0571	0.0943	0.7592	36.2000	0.1391	4.1172	264.0000	0.2290	1156.0000	0.8391	751.0000	895.0000	0.9360	0.8043
88	0.6206	0.5448	0.5881	3.0077	0.0965	0.7708	36.1000	0.1562	4.0182	264.0000	0.2253	1175.0000	0.8603	770.0000	895.0000	0.9353	0.8102
89	0.6081	0.5458	0.5868	2.9250	0.1036	0.7637	35.7000	0.1508	4.1427	257.0000	0.2295	1124.0000	0.8302	743.0000	895.0000	0.9342	0.8052
90	0.6304	0.5463	0.5740	2.9749	0.0975	0.7775	35.6000	0.1304	4.0780	250.0000	0.2182	1155.0000	0.8168	731.0000	895.0000	0.9342	0.8143
91	0.6134	0.5463	0.5848	3.0129	0.0916	0.7529	36.5000	0.1503	4.1007	272.0000	0.2349	1160.0000	0.8324	745.0000	895.0000	0.9328	0.8112
92	0.6284	0.5463	0.5906	2.9116	0.1140	0.7825	36.3000	0.1363	4.0601	245.0000	0.2098	1176.0000	0.8559	766.0000	895.0000	0.9464	0.8090
93	0.6206	0.5453	0.5788	3.0971	0.0954	0.7737	35.7000	0.1422	4.0397	251.0000	0.2211	1143.0000	0.8447	756.0000	895.0000	0.9353	0.8144
94	0.6088	0.5448	0.5915	3.0265	0.1044	0.7802	35.4000	0.1452	4.0585	252.0000	0.2169	1169.0000	0.8782	786.0000	895.0000	0.9435	0.8112
95	0.6135	0.5458	0.5811	2.8400	0.1057	0.7749	36.7000	0.1429	4.0503	252.0000	0.2201	1156.0000	0.8447	756.0000	895.0000	0.9429	0.8090
96	0.6050	0.5463	0.5800	3.0601	0.0868	0.7658	35.5000	0.1412	3.9961	271.0000	0.2302	1181.0000	0.8547	765.0000	895.0000	0.9365	0.8091
97	0.6026	0.5468	0.5827	2.7517	0.0988	0.7752	35.3000	0.1490	4.0976	244.0000	0.2118	1160.0000	0.8358	748.0000	895.0000	0.9431	0.8146
98	0.6321	0.5468	0.5840	3.2098	0.0927	0.7720	36.5000	0.1310	3.9776	267.0000	0.2380	1125.0000	0.8480	759.0000	895.0000	0.9387	0.8094
99	0.6341	0.5463	0.5804	3.0350	0.0945	0.7675	36.4000	0.1462	4.0711	257.0000	0.2317	1115.0000	0.8324	745.0000	895.0000	0.9327	0.8186
100	0.6284	0.5458	0.5809	3.1229	0.0938	0.7655	35.5000	0.1407	3.9483	263.0000	0.2218	1188.0000	0.8648	774.0000	895.0000	0.9352	0.8145
