accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
51	0.3892	0.4628	0.3392	0.8496	0.0086	0.6381	36.0526	0.3283	670.0000	174.0000	0.2597	687.0000
52	0.3955	0.4693	0.3372	0.8517	0.0089	0.6199	36.1579	0.3401	668.0000	185.0000	0.2769	683.0000
53	0.3842	0.4689	0.3511	0.8399	0.0088	0.6264	36.1053	0.3350	669.0000	182.0000	0.2720	682.0000
54	0.4001	0.4695	0.3538	0.8496	0.0095	0.6123	36.0000	0.3407	666.0000	190.0000	0.2853	684.0000
55	0.4090	0.4686	0.3550	0.8471	0.0092	0.6468	36.4211	0.3115	714.0000	183.0000	0.2563	734.0000
56	0.3792	0.4723	0.3548	0.8612	0.0088	0.6242	36.0526	0.3357	683.0000	194.0000	0.2840	697.0000
57	0.4068	0.4728	0.3587	0.8378	0.0091	0.6591	36.0526	0.3053	684.0000	181.0000	0.2646	698.0000
58	0.3922	0.4735	0.3588	0.8409	0.0091	0.6389	36.1053	0.3233	679.0000	185.0000	0.2725	694.0000
59	0.3963	0.4682	0.3455	0.8466	0.0088	0.6439	35.8947	0.3165	693.0000	187.0000	0.2698	710.0000
60	0.3790	0.4633	0.3534	0.8461	0.0087	0.6032	35.9474	0.3510	682.0000	197.0000	0.2889	696.0000
61	0.3717	0.4709	0.3561	0.8300	0.0085	0.6322	36.1053	0.3237	703.0000	192.0000	0.2731	728.0000
62	0.3705	0.4665	0.3521	0.8365	0.0081	0.6298	35.7895	0.3293	720.0000	192.0000	0.2667	744.0000
63	0.3796	0.4675	0.3451	0.8493	0.0084	0.6323	35.9474	0.3222	695.0000	190.0000	0.2734	717.0000
64	0.3847	0.4661	0.3507	0.8376	0.0084	0.6394	36.0000	0.3204	693.0000	182.0000	0.2626	714.0000
65	0.3694	0.4637	0.3444	0.8642	0.0086	0.6079	36.1053	0.3564	668.0000	191.0000	0.2859	685.0000
66	0.4038	0.4686	0.3532	0.8486	0.0086	0.6463	36.1053	0.3215	675.0000	184.0000	0.2726	688.0000
67	0.4017	0.4635	0.3440	0.8483	0.0085	0.6291	36.0000	0.3253	673.0000	182.0000	0.2704	693.0000
68	0.3715	0.4693	0.3565	0.8366	0.0088	0.6277	36.1053	0.3309	698.0000	191.0000	0.2736	717.0000
69	0.3969	0.4695	0.3547	0.8474	0.0084	0.6401	35.8947	0.3133	696.0000	185.0000	0.2658	713.0000
70	0.4150	0.4686	0.3524	0.8378	0.0086	0.6516	35.9474	0.3072	694.0000	185.0000	0.2666	712.0000
71	0.3934	0.4663	0.3548	0.8246	0.0084	0.6210	35.7895	0.3477	663.0000	193.0000	0.2911	676.0000
72	0.3760	0.4623	0.3345	0.8491	0.0083	0.6273	36.2632	0.3437	672.0000	183.0000	0.2723	690.0000
73	0.3824	0.4647	0.3442	0.8521	0.0084	0.6205	36.0526	0.3471	687.0000	185.0000	0.2693	711.0000
74	0.3951	0.4744	0.3642	0.8475	0.0092	0.6367	35.8947	0.3255	678.0000	192.0000	0.2832	695.0000
75	0.3806	0.4668	0.3462	0.8324	0.0083	0.6296	36.1053	0.3231	706.0000	190.0000	0.2691	720.0000
76	0.3798	0.4670	0.3549	0.8564	0.0084	0.6354	35.7368	0.3273	710.0000	191.0000	0.2690	731.0000
77	0.4019	0.4647	0.3485	0.8278	0.0088	0.6477	36.1053	0.3102	718.0000	182.0000	0.2535	724.0000
78	0.4088	0.4609	0.3449	0.8448	0.0085	0.6253	36.3158	0.3354	658.0000	185.0000	0.2812	676.0000
79	0.3838	0.4721	0.3449	0.8521	0.0096	0.6214	35.7895	0.3484	677.0000	194.0000	0.2866	690.0000
